id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
399407754,2016-03-13 11:28:00+00:00,eng,0.4,http://www.ettelaat.com/index2.asp?code=endisplay&fname=%2Fettelaat%2Fetbupload%2Fdata%2F2016%2F03%2F03-13%2F4.htm&title=Putin%2520signs%2520decree%2520on%2520UN%2520Iran%2520resolution,Putin signs decree on UN Iran resolution,eng-1997119,ettelaat.com,sure-information-crossing,Putin signs decree on UN Iran resolution,isFilledBy. consists of . Effected. Reacted. want to. want to. It can be becuase. has sub event. becuase. Caused. Intended. needed. wanted. wanted. 12, a flag.  authoritative.  gets a new job.  happy.  PersonY asks for a copy of the decree..  PersonY asks for a copy of the decree..  Putin is not a lawyer..  read the decree.  read the decree.  the people of the world to know the truth.  to be a leader.  to be in charge of the country.  to protest against the resolution.  to sign the decree. 12,isFilledBy a flag. consists of  authoritative. Effected gets a new job. Reacted happy. want to PersonY asks for a copy of the decree.. want to PersonY asks for a copy of the decree.. It can be becuase Putin is not a lawyer.. has sub event read the decree. becuase read the decree. Caused the people of the world to know the truth. Intended to be a leader. needed to be in charge of the country. wanted to protest against the resolution. wanted to sign the decree. 12,Putin signs decree on UN Iran resolution. isFilledBy a flag. consists of  authoritative. Effected gets a new job. Reacted happy. want to PersonY asks for a copy of the decree.. want to PersonY asks for a copy of the decree.. It can be becuase Putin is not a lawyer.. has sub event read the decree. becuase read the decree. Caused the people of the world to know the truth. Intended to be a leader. needed to be in charge of the country. wanted to protest against the resolution. wanted to sign the decree. 12,0,The sentiment score is neutral
420005409,2016-04-16 06:27:00+00:00,eng,0.6,http://www.nrttv.com/EN/Details.aspx?Jimare=6358,"Pope heads to Lesbos, Greek front line of refugee crisis",eng-2082829,nrttv.com,sure-information-crossing,"Pope heads to Lesbos, Greek front line of refugee crisis",isFilledBy. Reacted. Effected. want to. becuase. want to. Caused. consists of . It can be becuase. Effected. Intended. needed. wanted. wanted. has sub event. 2317, church.  happy.  is greeted by many people.  PersonX asks the pope to pray for them..  Pope Francis visits the front line of the refugee crisis.  Pope Francis visits the island of Lesbos.  Pope Francis visits the island of Lesbos in the middle of the refugee crisis..  religious.  The pope is not allowed to go to the front line of the crisis..  they get to know the people on the island.  to help.  to make a trip to the island.  to pray for the refugees.  to pray for the refugees.  visit the refugees. 2317,isFilledBy church. Reacted happy. Effected is greeted by many people. want to PersonX asks the pope to pray for them.. becuase Pope Francis visits the front line of the refugee crisis. want to Pope Francis visits the island of Lesbos. Caused Pope Francis visits the island of Lesbos in the middle of the refugee crisis.. consists of  religious. It can be becuase The pope is not allowed to go to the front line of the crisis.. Effected they get to know the people on the island. Intended to help. needed to make a trip to the island. wanted to pray for the refugees. wanted to pray for the refugees. has sub event visit the refugees. 2317,"Pope heads to Lesbos, Greek front line of refugee crisis. isFilledBy church. Reacted happy. Effected is greeted by many people. want to PersonX asks the pope to pray for them.. becuase Pope Francis visits the front line of the refugee crisis. want to Pope Francis visits the island of Lesbos. Caused Pope Francis visits the island of Lesbos in the middle of the refugee crisis.. consists of  religious. It can be becuase The pope is not allowed to go to the front line of the crisis.. Effected they get to know the people on the island. Intended to help. needed to make a trip to the island. wanted to pray for the refugees. wanted to pray for the refugees. has sub event visit the refugees. 2317",-0.6249,The sentiment score is negative
570715494,2016-12-23 14:04:00+00:00,eng,0.7,http://www.vanguardngr.com/2016/12/man-thrown-off-plane-abusing-trumps-daughter-ivanka/,"Man thrown off plane for abusing Trump's daughter, Ivanka - Vanguard News",eng-2751486,vanguardngr.com,sure-information-crossing,"Man thrown off plane for abusing Trump's daughter, Ivanka - Vanguard News",Effected. Reacted. has sub event. want to. becuase. want to. Caused. It can be becuase. isFilledBy. needed. wanted. wanted. consists of . 2259, gets thrown out of plane.  guilty.  man gets thrown off plane.  PersonX gets arrested.  PersonX gets arrested..  PersonX is arrested and sent to jail..  PersonX is in jail..  PersonX is not allowed on the plane..  plane.  to be on a plane.  to get away from the situation.  to go to jail.  violent. 2259,Effected gets thrown out of plane. Reacted guilty. has sub event man gets thrown off plane. want to PersonX gets arrested. becuase PersonX gets arrested.. want to PersonX is arrested and sent to jail.. Caused PersonX is in jail.. It can be becuase PersonX is not allowed on the plane.. isFilledBy plane. needed to be on a plane. wanted to get away from the situation. wanted to go to jail. consists of  violent. 2259,"Man thrown off plane for abusing Trump's daughter, Ivanka - Vanguard News. Effected gets thrown out of plane. Reacted guilty. has sub event man gets thrown off plane. want to PersonX gets arrested. becuase PersonX gets arrested.. want to PersonX is arrested and sent to jail.. Caused PersonX is in jail.. It can be becuase PersonX is not allowed on the plane.. isFilledBy plane. needed to be on a plane. wanted to get away from the situation. wanted to go to jail. consists of  violent. 2259",-0.4588,The sentiment score is negative
571390900,2016-12-25 08:39:00+00:00,eng,0.8,http://sunnewsonline.com/trump-to-shut-down-his-charitable-foundation-to-avoid-conflict-of-interests/,Trump to shut down his charitable foundation to avoid conflict of interests,eng-2756228,sunnewsonline.com,sure-information-crossing,Trump to shut down his charitable foundation to avoid conflict of interests,becuase. Effected. Reacted. Caused. consists of . isFilledBy. It can be becuase. Intended. wanted. needed. want to. has sub event. want to. 1384, get a new job.  gets sued.  good about themselves.  have less money.  immoral.  money.  they are too rich to not have a conflict of interest.  to avoid conflict of interest.  to find a new charity.  to make a decision.  to shut down his charitable foundation to avoid conflict of interests.  to shut down his charitable foundation to avoid conflict of interests.  to shut down his charitable foundation to avoid conflict of interests. 1384,becuase get a new job. Effected gets sued. Reacted good about themselves. Caused have less money. consists of  immoral. isFilledBy money. It can be becuase they are too rich to not have a conflict of interest. Intended to avoid conflict of interest. wanted to find a new charity. needed to make a decision. want to to shut down his charitable foundation to avoid conflict of interests. has sub event to shut down his charitable foundation to avoid conflict of interests. want to to shut down his charitable foundation to avoid conflict of interests. 1384,Trump to shut down his charitable foundation to avoid conflict of interests. becuase get a new job. Effected gets sued. Reacted good about themselves. Caused have less money. consists of  immoral. isFilledBy money. It can be becuase they are too rich to not have a conflict of interest. Intended to avoid conflict of interest. wanted to find a new charity. needed to make a decision. want to to shut down his charitable foundation to avoid conflict of interests. has sub event to shut down his charitable foundation to avoid conflict of interests. want to to shut down his charitable foundation to avoid conflict of interests. 1384,0.0516,The sentiment score is positive
464669386,2016-06-28 06:20:00+00:00,eng,0.6,http://www.nigerianbestforum.com/blog/pope-asks-roman-catholics-to-apologise-to-gays/,Pope Asks Roman Catholics To Apologise To Gays,eng-2258612,nigerianbestforum.com,sure-information-crossing,Pope Asks Roman Catholics To Apologise To Gays,Reacted. isFilledBy. Effected. want to. want to. consists of . It can be becuase. becuase. Caused. has sub event. Intended. wanted. needed. wanted. 2245, angry.  church.  gets yelled at.  PersonX is a gay man..  PersonX is a gay man..  repentant.  The pope is not a religious person..  the pope to apologize to the gay community.  the pope to apologize to the gay community.  to apologize to the gay community.  to apologize to the gay community.  to ask for forgiveness.  to be a priest.  to make amends. 2245,Reacted angry. isFilledBy church. Effected gets yelled at. want to PersonX is a gay man.. want to PersonX is a gay man.. consists of  repentant. It can be becuase The pope is not a religious person.. becuase the pope to apologize to the gay community. Caused the pope to apologize to the gay community. has sub event to apologize to the gay community. Intended to apologize to the gay community. wanted to ask for forgiveness. needed to be a priest. wanted to make amends. 2245,Pope Asks Roman Catholics To Apologise To Gays. Reacted angry. isFilledBy church. Effected gets yelled at. want to PersonX is a gay man.. want to PersonX is a gay man.. consists of  repentant. It can be becuase The pope is not a religious person.. becuase the pope to apologize to the gay community. Caused the pope to apologize to the gay community. has sub event to apologize to the gay community. Intended to apologize to the gay community. wanted to ask for forgiveness. needed to be a priest. wanted to make amends. 2245,0.3818,The sentiment score is positive
465921759,2016-06-30 06:13:00+00:00,eng,0.6,http://www.tripolipost.com/articledetail.asp?c=1&i=11084,"Benghazi Report Criticizes US Government, Military for Less than Professional Conduct",eng-2260231,tripolipost.com,sure-information-crossing,"Benghazi Report Criticizes US Government, Military for Less than Professional Conduct",Reacted. want to. becuase. Caused. want to. It can be becuase. consists of . has sub event. isFilledBy. wanted. needed. wanted. 2384, angry.  Benghazi report.  Benghazi report.  Benghazi report.  Benghazi report.  Benghazi report.  incompetent.  read the report.  report.  to protest against the report.  to read the report.  to write a book about it. 2384,Reacted angry. want to Benghazi report. becuase Benghazi report. Caused Benghazi report. want to Benghazi report. It can be becuase Benghazi report. consists of  incompetent. has sub event read the report. isFilledBy report. wanted to protest against the report. needed to read the report. wanted to write a book about it. 2384,"Benghazi Report Criticizes US Government, Military for Less than Professional Conduct. Reacted angry. want to Benghazi report. becuase Benghazi report. Caused Benghazi report. want to Benghazi report. It can be becuase Benghazi report. consists of  incompetent. has sub event read the report. isFilledBy report. wanted to protest against the report. needed to read the report. wanted to write a book about it. 2384",-0.34,The sentiment score is negative
571451763,2016-12-25 12:32:00+00:00,eng,0.7,http://www.theindependentbd.com/post/73904,Trump says he intends to dissolve charitable foundation,eng-2756228,theindependentbd.com,sure-information-crossing,Trump says he intends to dissolve charitable foundation,has sub event. want to. Effected. Caused. becuase. consists of . isFilledBy. want to. Reacted. It can be becuase. needed. Intended. wanted. 85, get a new foundation.  get a new job.  gets sued.  he has to get rid of it.  he is going to get rid of the foundation.  mean.  money.  PersonX gets fired from the foundation..  sad.  The foundation is too important to the president..  to be president of the United States.  to get rid of charity.  to get rid of the foundation. 85,has sub event get a new foundation. want to get a new job. Effected gets sued. Caused he has to get rid of it. becuase he is going to get rid of the foundation. consists of  mean. isFilledBy money. want to PersonX gets fired from the foundation.. Reacted sad. It can be becuase The foundation is too important to the president.. needed to be president of the United States. Intended to get rid of charity. wanted to get rid of the foundation. 85,Trump says he intends to dissolve charitable foundation. has sub event get a new foundation. want to get a new job. Effected gets sued. Caused he has to get rid of it. becuase he is going to get rid of the foundation. consists of  mean. isFilledBy money. want to PersonX gets fired from the foundation.. Reacted sad. It can be becuase The foundation is too important to the president.. needed to be president of the United States. Intended to get rid of charity. wanted to get rid of the foundation. 85,0.4019,The sentiment score is positive
637366897,2017-04-16 11:10:00+00:00,eng,0.6,http://www.pakistantribune.com.pk/100-killed-blast-targets-evacuation-convoy-aleppo.html,100 Killed as Blast Targets Evacuation Convoy in Aleppo | Pakistan Tribune,eng-3054672,pakistantribune.com.pk,sure-information-crossing,100 Killed as Blast Targets Evacuation Convoy in Aleppo | Pakistan Tribune,want to. want to. It can be becuase. becuase. Caused. isFilledBy. has sub event. Effected. Reacted. consists of . needed. wanted. wanted. 3711, 100 killed.  100 killed.  100 killed as blast targets Evacuation Convoy in Aleppo.  100 people dead.  100 people dead.  bomb.  get injured.  gets injured.  sad.  scared.  to be in a convoy.  to get out of the country.  to get to safety. 3711,want to 100 killed. want to 100 killed. It can be becuase 100 killed as blast targets Evacuation Convoy in Aleppo. becuase 100 people dead. Caused 100 people dead. isFilledBy bomb. has sub event get injured. Effected gets injured. Reacted sad. consists of  scared. needed to be in a convoy. wanted to get out of the country. wanted to get to safety. 3711,100 Killed as Blast Targets Evacuation Convoy in Aleppo | Pakistan Tribune. want to 100 killed. want to 100 killed. It can be becuase 100 killed as blast targets Evacuation Convoy in Aleppo. becuase 100 people dead. Caused 100 people dead. isFilledBy bomb. has sub event get injured. Effected gets injured. Reacted sad. consists of  scared. needed to be in a convoy. wanted to get out of the country. wanted to get to safety. 3711,-0.6705,The sentiment score is negative
785913383,2017-12-30 02:55:00+00:00,eng,0.8,http://dunyanews.tv/en/World/421280-IS-claims-Saint-Petersburg-supermarket-bombing,IS claims Saint Petersburg supermarket bombing - World - Dunya News,eng-3673906,dunyanews.tv,sure-information-crossing,IS claims Saint Petersburg supermarket bombing - World - Dunya News,has sub event. Effected. Caused. isFilledBy. want to. becuase. It can be becuase. want to. Reacted. wanted. consists of . 5029, get arrested.  gets arrested.  IS BLAMES THE STOREY MANUFACTURER FOR THE BOMBING.  IS claims responsibility for the attack.  IS claims responsibility for the attack.  IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS.  IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS.  IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS.  sad.  to make a statement.  violent. 5029,has sub event get arrested. Effected gets arrested. Caused IS BLAMES THE STOREY MANUFACTURER FOR THE BOMBING. isFilledBy IS claims responsibility for the attack. want to IS claims responsibility for the attack. becuase IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. It can be becuase IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. want to IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. Reacted sad. wanted to make a statement. consists of  violent. 5029,IS claims Saint Petersburg supermarket bombing - World - Dunya News. has sub event get arrested. Effected gets arrested. Caused IS BLAMES THE STOREY MANUFACTURER FOR THE BOMBING. isFilledBy IS claims responsibility for the attack. want to IS claims responsibility for the attack. becuase IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. It can be becuase IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. want to IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS IS. Reacted sad. wanted to make a statement. consists of  violent. 5029,0,The sentiment score is neutral
785286966,2017-12-28 12:00:00+00:00,eng,0.5,https://www.thetrumpet.com/16691-how-japans-heiwaboke-peace-idiots-are-losing,How Japan's Heiwaboke--'Peace Idiots' -- Are Losing,eng-3673785,thetrumpet.com,sure-information-crossing,How Japan's Heiwaboke--'Peace Idiots' -- Are Losing,It can be becuase. want to. isFilledBy. want to. Caused. Reacted. consists of . wanted. wanted. 3724, Heiwaboke is a pacifist..  Heiwaboke loses the war..  how to win a war.  how to win the war.  sad.  sad.  sadistic.  to win the war.  to win the war. 3724,It can be becuase Heiwaboke is a pacifist.. want to Heiwaboke loses the war.. isFilledBy how to win a war. want to how to win the war. Caused sad. Reacted sad. consists of  sadistic. wanted to win the war. wanted to win the war. 3724,How Japan's Heiwaboke--'Peace Idiots' -- Are Losing. It can be becuase Heiwaboke is a pacifist.. want to Heiwaboke loses the war.. isFilledBy how to win a war. want to how to win the war. Caused sad. Reacted sad. consists of  sadistic. wanted to win the war. wanted to win the war. 3724,-0.3818,The sentiment score is negative
