id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
367303940,2016-01-27T10:59:00Z,eng,0.792156875,http://dc.asianage.com/international/8-hamas-men-missing-after-gaza-tunnel-collapse-838,8 Hamas men missing after Gaza tunnel collapse,eng-1878402,dc.asianage.com,Crossed-PA,8 Hamas men missing after Gaza tunnel collapse,becuase. needed. has sub event. Effected. consists of . Reacted. wanted. wanted. isFilledBy. 10, 8 Hamas men missing after tunnel collapse.  find out where the men are.  hide from the police.  is buried in the ground.  lost.  sad.  to find the missing men.  to find the missing men.  tunnel. 10,becuase 8 Hamas men missing after tunnel collapse. needed find out where the men are. has sub event hide from the police. Effected is buried in the ground. consists of  lost. Reacted sad. wanted to find the missing men. wanted to find the missing men. isFilledBy tunnel. 10,8 Hamas men missing after Gaza tunnel collapse. becuase 8 Hamas men missing after tunnel collapse. needed find out where the men are. has sub event hide from the police. Effected is buried in the ground. consists of  lost. Reacted sad. wanted to find the missing men. wanted to find the missing men. isFilledBy tunnel. 10,-0.6597,The sentiment score is negative
389717346,2016-02-27T11:58:00Z,eng,0.752941191,http://www.thenorthernecho.co.uk/uk_national_sport/14306826.Gianni_Infantino_keen_to_put_football_first_as_he_begins_life_as_FIFA_president/,Gianni Infantino keen to put football first as he begins life as FIFA president,eng-1949637,thenorthernecho.co.uk,Crossed-PA,Gianni Infantino keen to put football first as he begins life as FIFA president,consists of . isFilledBy. Caused. Effected. has sub event. It can be becuase. want to. becuase. want to. Reacted. Intended. wanted. needed. wanted. 341, dedicated.  football.  Gains power.  Gains power.  get a new job.  GIANNI INFANTINO HAS NO MONEY..  GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION.  GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION.  GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION.  happy.  to be a leader.  to be a leader.  to be elected president.  to be in charge. 341,consists of  dedicated. isFilledBy football. Caused Gains power. Effected Gains power. has sub event get a new job. It can be becuase GIANNI INFANTINO HAS NO MONEY.. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. becuase GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. Reacted happy. Intended to be a leader. wanted to be a leader. needed to be elected president. wanted to be in charge. 341,Gianni Infantino keen to put football first as he begins life as FIFA president. consists of  dedicated. isFilledBy football. Caused Gains power. Effected Gains power. has sub event get a new job. It can be becuase GIANNI INFANTINO HAS NO MONEY.. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. becuase GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. Reacted happy. Intended to be a leader. wanted to be a leader. needed to be elected president. wanted to be in charge. 341,0.3612,The sentiment score is positive
389636660,2016-02-27T08:19:00Z,eng,0.788235307,http://sports.inquirer.net/207234/infantino-pledges-new-era-after-winning-fifa-vote,Infantino pledges new era after winning FIFA vote - Inquirer Sports,eng-1949637,sports.inquirer.net,Crossed-PA,Infantino pledges new era after winning FIFA vote - Inquirer Sports,has sub event. Reacted. Caused. consists of . Effected. want to. It can be becuase. want to. isFilledBy. becuase. Intended. wanted. needed. wanted. 609, get a new job.  happy.  he is the leader of the team.  hopeful.  is elected president of the world body.  PersonX is elected president of the world soccer body..  PersonX is not a fan of the new era..  PersonX wins the election..  soccer.  they are going to change the rules of the game.  to be a leader.  to win the election.  to win the election.  to win the election. 609,has sub event get a new job. Reacted happy. Caused he is the leader of the team. consists of  hopeful. Effected is elected president of the world body. want to PersonX is elected president of the world soccer body.. It can be becuase PersonX is not a fan of the new era.. want to PersonX wins the election.. isFilledBy soccer. becuase they are going to change the rules of the game. Intended to be a leader. wanted to win the election. needed to win the election. wanted to win the election. 609,Infantino pledges new era after winning FIFA vote - Inquirer Sports. has sub event get a new job. Reacted happy. Caused he is the leader of the team. consists of  hopeful. Effected is elected president of the world body. want to PersonX is elected president of the world soccer body.. It can be becuase PersonX is not a fan of the new era.. want to PersonX wins the election.. isFilledBy soccer. becuase they are going to change the rules of the game. Intended to be a leader. wanted to win the election. needed to win the election. wanted to win the election. 609,0.5267,The sentiment score is positive
389588166,2016-02-27T05:42:00Z,eng,0.80392158,http://www.thehindubusinessline.com/news/sports/gianni-infantino-pledges-new-era-after-winning-fifa-vote/article8289154.ece,Gianni Infantino pledges new era after winning FIFA vote,eng-1949637,thehindubusinessline.com,Crossed-PA,Gianni Infantino pledges new era after winning FIFA vote,Effected. has sub event. isFilledBy. It can be becuase. want to. want to. becuase. Caused. Reacted. consists of . Intended. wanted. needed. wanted. 579, Gains power.  get a new job.  GIANNI INFANTINO.  Gianni Infantino is not a politician..  GIANNI INFANTINO IS THE NEW MANAGER OF THE FUTURE OF FUTURE.  GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION.  GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION.  GIANNI INTELLIGENT.  happy.  responsible.  to be a leader.  to start a new era.  to win the election.  to win the election. 579,Effected Gains power. has sub event get a new job. isFilledBy GIANNI INFANTINO. It can be becuase Gianni Infantino is not a politician.. want to GIANNI INFANTINO IS THE NEW MANAGER OF THE FUTURE OF FUTURE. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. becuase GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. Caused GIANNI INTELLIGENT. Reacted happy. consists of  responsible. Intended to be a leader. wanted to start a new era. needed to win the election. wanted to win the election. 579,Gianni Infantino pledges new era after winning FIFA vote. Effected Gains power. has sub event get a new job. isFilledBy GIANNI INFANTINO. It can be becuase Gianni Infantino is not a politician.. want to GIANNI INFANTINO IS THE NEW MANAGER OF THE FUTURE OF FUTURE. want to GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. becuase GIANNI INFANTINO IS THE NEW PRESIDENT OF THE FEDERATION. Caused GIANNI INTELLIGENT. Reacted happy. consists of  responsible. Intended to be a leader. wanted to start a new era. needed to win the election. wanted to win the election. 579,0.5267,The sentiment score is positive
389336939,2016-02-26T19:04:00Z,eng,0.811764717,http://www.maltatoday.com.mt/sports/football/62649/gianni_infantino_succeeds_blatter_as_fifa_president_,Gianni Infantino succeeds Blatter as Fifa president,eng-1949637,maltatoday.com.mt,Crossed-PA,Gianni Infantino succeeds Blatter as Fifa president,has sub event. Effected. Caused. It can be becuase. want to. want to. becuase. Reacted. consists of . isFilledBy. Intended. wanted. wanted. needed. 611, get a new job.  gets a new job.  GIANNI INFANTINO IS THE NEW PRESIDENT OF FUTURE FUTURE FUTURE F.  Gianni Infantino is too young to be president..  PersonX is elected president.  PersonX is elected president.  PersonX is elected president..  powerful.  responsible.  soccer.  to be in charge.  to be in charge.  to run the organization.  to win the election. 611,has sub event get a new job. Effected gets a new job. Caused GIANNI INFANTINO IS THE NEW PRESIDENT OF FUTURE FUTURE FUTURE F. It can be becuase Gianni Infantino is too young to be president.. want to PersonX is elected president. want to PersonX is elected president. becuase PersonX is elected president.. Reacted powerful. consists of  responsible. isFilledBy soccer. Intended to be in charge. wanted to be in charge. wanted to run the organization. needed to win the election. 611,Gianni Infantino succeeds Blatter as Fifa president. has sub event get a new job. Effected gets a new job. Caused GIANNI INFANTINO IS THE NEW PRESIDENT OF FUTURE FUTURE FUTURE F. It can be becuase Gianni Infantino is too young to be president.. want to PersonX is elected president. want to PersonX is elected president. becuase PersonX is elected president.. Reacted powerful. consists of  responsible. isFilledBy soccer. Intended to be in charge. wanted to be in charge. wanted to run the organization. needed to win the election. 611,0.4939,The sentiment score is positive
389081382,2016-02-26T11:48:00Z,eng,0.843137264,http://www.ottawacitizen.com/sports/latest+president+bach+speaks+fifa+congress/11746293/story.html,The Latest: Prince Ali makes his speech to FIFA members,eng-1949637,ottawacitizen.com,Crossed-PA,The Latest: Prince Ali makes his speech to FIFA members,Effected. Reacted. has sub event. consists of . want to. want to. Effected. isFilledBy. Caused. becuase. It can be becuase. wanted. wanted. Intended. needed. 831, gets booed.  happy.  make a speech.  powerful.  the audience applauds.  the audience applauds the speech.  the audience listens to the speech.  the audience to listen to the speech.  the audience to listen to the speech.  the president of the world's most powerful football club.  The speech is being delayed..  to listen to the speech.  to make a speech.  to make a speech.  to prepare a speech. 831,Effected gets booed. Reacted happy. has sub event make a speech. consists of  powerful. want to the audience applauds. want to the audience applauds the speech. Effected the audience listens to the speech. isFilledBy the audience to listen to the speech. Caused the audience to listen to the speech. becuase the president of the world's most powerful football club. It can be becuase The speech is being delayed.. wanted to listen to the speech. wanted to make a speech. Intended to make a speech. needed to prepare a speech. 831,The Latest: Prince Ali makes his speech to FIFA members. Effected gets booed. Reacted happy. has sub event make a speech. consists of  powerful. want to the audience applauds. want to the audience applauds the speech. Effected the audience listens to the speech. isFilledBy the audience to listen to the speech. Caused the audience to listen to the speech. becuase the president of the world's most powerful football club. It can be becuase The speech is being delayed.. wanted to listen to the speech. wanted to make a speech. Intended to make a speech. needed to prepare a speech. 831,0,The sentiment score is neutral
388976662,2016-02-26T09:18:00Z,eng,0.815686285,http://sports.inquirer.net/207169/fifa-to-pick-post-blatter-leader-in-bid-to-end-to-crisis,FIFA to pick post-Blatter leader in bid to end to crisis - Inquirer Sports,eng-1949637,sports.inquirer.net,Crossed-PA,FIFA to pick post-Blatter leader in bid to end to crisis - Inquirer Sports,Caused. has sub event. becuase. Effected. Intended. Reacted. isFilledBy. want to. It can be becuase. want to. consists of . needed. wanted. wanted. 15, a new leader.  get a new job.  get a new leader.  get a new leader.  get rid of a bad leader.  happy.  news.  PersonX is elected as the new leader..  PersonX is not qualified to be the new leader..  PersonX wins the election..  responsible.  to be in charge of the sport.  to get rid of Blatter.  to get rid of Blatter. 15,Caused a new leader. has sub event get a new job. becuase get a new leader. Effected get a new leader. Intended get rid of a bad leader. Reacted happy. isFilledBy news. want to PersonX is elected as the new leader.. It can be becuase PersonX is not qualified to be the new leader.. want to PersonX wins the election.. consists of  responsible. needed to be in charge of the sport. wanted to get rid of Blatter. wanted to get rid of Blatter. 15,FIFA to pick post-Blatter leader in bid to end to crisis - Inquirer Sports. Caused a new leader. has sub event get a new job. becuase get a new leader. Effected get a new leader. Intended get rid of a bad leader. Reacted happy. isFilledBy news. want to PersonX is elected as the new leader.. It can be becuase PersonX is not qualified to be the new leader.. want to PersonX wins the election.. consists of  responsible. needed to be in charge of the sport. wanted to get rid of Blatter. wanted to get rid of Blatter. 15,-0.6249,The sentiment score is negative
386921710,2016-02-23T17:21:00Z,eng,0.764705896,http://www.mid-day.com/articles/alarm-bells-over-cost-of-fifa-vote-promises/16980167,Alarm bells over cost of FIFA vote promises - Sports,eng-1947748,mid-day.com,Crossed-PA,Alarm bells over cost of FIFA vote promises - Sports,becuase. Caused. It can be becuase. want to. want to. Effected. needed. has sub event. isFilledBy. consists of . wanted. Reacted. 32, Alarm bells.  Alarm bells.  Alarm bells are not ringing..  Alarm bells over cost of the vote promises.  Alarm bells over cost of the vote promises.  get a new job.  make a plan.  make promises to others.  money.  responsible.  to make sure they don't make a mistake.  worried. 32,becuase Alarm bells. Caused Alarm bells. It can be becuase Alarm bells are not ringing.. want to Alarm bells over cost of the vote promises. want to Alarm bells over cost of the vote promises. Effected get a new job. needed make a plan. has sub event make promises to others. isFilledBy money. consists of  responsible. wanted to make sure they don't make a mistake. Reacted worried. 32,Alarm bells over cost of FIFA vote promises - Sports. becuase Alarm bells. Caused Alarm bells. It can be becuase Alarm bells are not ringing.. want to Alarm bells over cost of the vote promises. want to Alarm bells over cost of the vote promises. Effected get a new job. needed make a plan. has sub event make promises to others. isFilledBy money. consists of  responsible. wanted to make sure they don't make a mistake. Reacted worried. 32,0.0516,The sentiment score is positive
398344769,2016-03-11T10:03:00Z,eng,0.78039217,http://www.centralchronicle.com/suu-kyi-proxy-a-step-closer-to-myanmar-presidency.html,Suu Kyi proxy a step closer to Myanmar presidency,eng-1992794,centralchronicle.com,Crossed-PA,Suu Kyi proxy a step closer to Myanmar presidency,isFilledBy. want to. becuase. Caused. It can be becuase. has sub event. Reacted. consists of . want to. needed. wanted. wanted. 11, a car.  Aung San Suu Kyi.  Aung San Suu Kyi.  Aung San Suu Kyi.  Aung San Suu Kyi..  get elected.  happy.  powerful.  Suu Kyi gets elected president of Myanmar.  to be in a position of power.  to win the election.  to win the election. 11,isFilledBy a car. want to Aung San Suu Kyi. becuase Aung San Suu Kyi. Caused Aung San Suu Kyi. It can be becuase Aung San Suu Kyi.. has sub event get elected. Reacted happy. consists of  powerful. want to Suu Kyi gets elected president of Myanmar. needed to be in a position of power. wanted to win the election. wanted to win the election. 11,Suu Kyi proxy a step closer to Myanmar presidency. isFilledBy a car. want to Aung San Suu Kyi. becuase Aung San Suu Kyi. Caused Aung San Suu Kyi. It can be becuase Aung San Suu Kyi.. has sub event get elected. Reacted happy. consists of  powerful. want to Suu Kyi gets elected president of Myanmar. needed to be in a position of power. wanted to win the election. wanted to win the election. 11,0,The sentiment score is neutral
403183829,2016-03-18T20:09:00Z,eng,0.788235307,http://forward.com/news/breaking-news/336414/bernie-sanders-turns-down-invitation-to-address-aipac-confab/,Bernie Sanders Turns Down Invitation To Address AIPAC Confab,eng-2011833,forward.com,Crossed-PA,Bernie Sanders Turns Down Invitation To Address AIPAC Confab,isFilledBy. It can be becuase. consists of . becuase. has sub event. Effected. want to. want to. Caused. needed. wanted. wanted. Reacted. 24, AIPAC Confab.  AIPAC is a political organization..  angry.  get a new job.  get a new job.  gets booed off stage.  PersonX asks PersonX to address the AIPAC Confab..  PersonX asks PersonX why they didn't go to the AIPAC Confab..  they don't want to be a part of it.  to decline the invitation.  to go home.  to make a speech at the conference.  upset. 24,isFilledBy AIPAC Confab. It can be becuase AIPAC is a political organization.. consists of  angry. becuase get a new job. has sub event get a new job. Effected gets booed off stage. want to PersonX asks PersonX to address the AIPAC Confab.. want to PersonX asks PersonX why they didn't go to the AIPAC Confab.. Caused they don't want to be a part of it. needed to decline the invitation. wanted to go home. wanted to make a speech at the conference. Reacted upset. 24,Bernie Sanders Turns Down Invitation To Address AIPAC Confab. isFilledBy AIPAC Confab. It can be becuase AIPAC is a political organization.. consists of  angry. becuase get a new job. has sub event get a new job. Effected gets booed off stage. want to PersonX asks PersonX to address the AIPAC Confab.. want to PersonX asks PersonX why they didn't go to the AIPAC Confab.. Caused they don't want to be a part of it. needed to decline the invitation. wanted to go home. wanted to make a speech at the conference. Reacted upset. 24,0,The sentiment score is neutral
