id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
365400078,2016-01-25 04:53:00+00:00,eng,0.9,http://tribune.com.pk/story/1033692/islamic-state-video-purports-to-show-paris-attackers-threatens-britain/,"Islamic State video purports to show Paris attackers, threatens Britain",deu-442504,tribune.com.pk,sure-information-crossing,"Islamic State video purports to show Paris attackers, threatens Britain",Effected. It can be becuase. Reacted. want to. becuase. Caused. want to. wanted. needed. wanted. isFilledBy. consists of . has sub event. 4016, gets arrested.  Islamic State threatens to kill people in the video..  scared.  terrorism.  terrorism.  terrorism.  terrorist attacks.  to make a statement.  to make a video.  to show the video to the world.  video game.  violent.  watch video. 4016,Effected gets arrested. It can be becuase Islamic State threatens to kill people in the video.. Reacted scared. want to terrorism. becuase terrorism. Caused terrorism. want to terrorist attacks. wanted to make a statement. needed to make a video. wanted to show the video to the world. isFilledBy video game. consists of  violent. has sub event watch video. 4016,"Islamic State video purports to show Paris attackers, threatens Britain. Effected gets arrested. It can be becuase Islamic State threatens to kill people in the video.. Reacted scared. want to terrorism. becuase terrorism. Caused terrorism. want to terrorist attacks. wanted to make a statement. needed to make a video. wanted to show the video to the world. isFilledBy video game. consists of  violent. has sub event watch video. 4016",-0.743,The sentiment score is negative
445154559,2016-05-25 05:19:00+00:00,eng,0.8,http://www.japantoday.com/category/world/view/protests-turn-violent-outside-trump-rally-in-new-mexico,Protests turn violent outside Trump rally in New Mexico,eng-2184259,japantoday.com,sure-information-crossing,Protests turn violent outside Trump rally in New Mexico,Reacted. Reacted. Effected. has sub event. Effected. want to. want to. Caused. It can be becuase. isFilledBy. becuase. needed. wanted. wanted. consists of . Reacted. Reacted. Effected. has sub event. Effected. want to. want to. Caused. It can be becuase. isFilledBy. becuase. needed. wanted. wanted. consists of . 6912, angry.  angry.  get arrested.  get arrested.  gets arrested.  PersonX is arrested by police.  PersonX is arrested by the police.  PersonX is arrested..  PersonX is in jail..  protest.  protests turn violent in New Mexico.  to be at the rally.  to get away from the scene.  to get away from the scene.  violent.  angry.  angry.  get arrested.  get arrested.  gets arrested.  PersonX is arrested by police.  PersonX is arrested by the police.  PersonX is arrested..  PersonX is in jail..  protest.  protests turn violent in New Mexico.  to be at the rally.  to get away from the scene.  to get away from the scene.  violent. 6912,Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 6912,Protests turn violent outside Trump rally in New Mexico. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 6912,-0.7003,The sentiment score is negative
445350652,2016-05-25 11:40:00+00:00,eng,0.9,http://www.newschannel5.com/news/national/protests-turn-violent-outside-trump-rally-in-new-mexico,Protests turn violent outside Trump rally in New Mexico,eng-2184259,newschannel5.com,sure-information-crossing,Protests turn violent outside Trump rally in New Mexico,Reacted. Reacted. Effected. has sub event. Effected. want to. want to. Caused. It can be becuase. isFilledBy. becuase. needed. wanted. wanted. consists of . Reacted. Reacted. Effected. has sub event. Effected. want to. want to. Caused. It can be becuase. isFilledBy. becuase. needed. wanted. wanted. consists of . 6912, angry.  angry.  get arrested.  get arrested.  gets arrested.  PersonX is arrested by police.  PersonX is arrested by the police.  PersonX is arrested..  PersonX is in jail..  protest.  protests turn violent in New Mexico.  to be at the rally.  to get away from the scene.  to get away from the scene.  violent.  angry.  angry.  get arrested.  get arrested.  gets arrested.  PersonX is arrested by police.  PersonX is arrested by the police.  PersonX is arrested..  PersonX is in jail..  protest.  protests turn violent in New Mexico.  to be at the rally.  to get away from the scene.  to get away from the scene.  violent. 6912,Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 6912,Protests turn violent outside Trump rally in New Mexico. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 6912,-0.7003,The sentiment score is negative
786293285,2017-12-31 13:46:00+00:00,eng,0.6,https://www.kyivpost.com/russia/al-jazeera-donald-trump-rejects-accusations-russia-collusion.html,Al Jazeera: Donald Trump rejects accusations of Russia collusion | KyivPost,eng-3669662,kyivpost.com,sure-information-crossing,Al Jazeera: Donald Trump rejects accusations of Russia collusion | KyivPost,Caused. want to. becuase. want to. It can be becuase. isFilledBy. Reacted. has sub event. consists of . Effected. needed. wanted. wanted. 7857, al-jazeera.  al-jazeera.  al-jazeera.  al-jazeera.  al-jazeera.  al-jazeera.  angry.  get a new job.  honest.  is accused of a crime.  to be in a position of power.  to deny the charges.  to make a statement. 7857,Caused al-jazeera. want to al-jazeera. becuase al-jazeera. want to al-jazeera. It can be becuase al-jazeera. isFilledBy al-jazeera. Reacted angry. has sub event get a new job. consists of  honest. Effected is accused of a crime. needed to be in a position of power. wanted to deny the charges. wanted to make a statement. 7857,Al Jazeera: Donald Trump rejects accusations of Russia collusion | KyivPost. Caused al-jazeera. want to al-jazeera. becuase al-jazeera. want to al-jazeera. It can be becuase al-jazeera. isFilledBy al-jazeera. Reacted angry. has sub event get a new job. consists of  honest. Effected is accused of a crime. needed to be in a position of power. wanted to deny the charges. wanted to make a statement. 7857,-0.6705,The sentiment score is negative
473232685,2016-07-14 08:55:00+00:00,eng,0.9,http://www.thejournal.ie/dylan-noble-shooting-2877363-Jul2016/,California police release graphic footage of officers shooting unarmed 19-year-old dead,eng-2295716,thejournal.ie,sure-information-crossing,California police release graphic footage of officers shooting unarmed 19-year-old dead,Caused. has sub event. It can be becuase. want to. isFilledBy. wanted. consists of . Effected. needed. Reacted. wanted. Caused. has sub event. Effected. want to. isFilledBy. Reacted. It can be becuase. wanted. needed. wanted. consists of . 110, angry.  get arrested.  The footage is too graphic..  police body cam video.  police car.  to file a police report.  violent.  gets arrested.  to have a gun.  sad.  to show the video to the public.  angry.  get arrested.  gets arrested.  police body cam video.  police car.  sad.  The footage is too graphic..  to file a police report.  to have a gun.  to show the video to the public.  violent. 110,Caused angry. has sub event get arrested. It can be becuase The footage is too graphic.. want to police body cam video. isFilledBy police car. wanted to file a police report. consists of  violent. Effected gets arrested. needed to have a gun. Reacted sad. wanted to show the video to the public. Caused angry. has sub event get arrested. Effected gets arrested. want to police body cam video. isFilledBy police car. Reacted sad. It can be becuase The footage is too graphic.. wanted to file a police report. needed to have a gun. wanted to show the video to the public. consists of  violent. 110,California police release graphic footage of officers shooting unarmed 19-year-old dead. Caused angry. has sub event get arrested. It can be becuase The footage is too graphic.. want to police body cam video. isFilledBy police car. wanted to file a police report. consists of  violent. Effected gets arrested. needed to have a gun. Reacted sad. wanted to show the video to the public. Caused angry. has sub event get arrested. Effected gets arrested. want to police body cam video. isFilledBy police car. Reacted sad. It can be becuase The footage is too graphic.. wanted to file a police report. needed to have a gun. wanted to show the video to the public. consists of  violent. 110,-0.6486,The sentiment score is negative
365287771,2016-01-24 23:37:00+00:00,eng,0.9,http://www.sbs.com.au/news/article/2016/01/25/online-video-show-paris-attackers,Online video 'show Paris IS attackers',deu-442504,sbs.com.au,sure-information-crossing,Online video 'show Paris IS attackers',Reacted. has sub event. Effected. It can be becuase. want to. want to. Caused. becuase. wanted. wanted. Intended. needed. isFilledBy. consists of . 6590, angry.  find out who did it.  is viewed by millions of people.  online video.  PersonX watches the video..  PersonX watches the video..  they want to make a movie about it.  they want to make a movie about it.  to make a documentary.  to make a movie about it.  to make a point.  to make a video.  video game.  violent. 6590,Reacted angry. has sub event find out who did it. Effected is viewed by millions of people. It can be becuase online video. want to PersonX watches the video.. want to PersonX watches the video.. Caused they want to make a movie about it. becuase they want to make a movie about it. wanted to make a documentary. wanted to make a movie about it. Intended to make a point. needed to make a video. isFilledBy video game. consists of  violent. 6590,Online video 'show Paris IS attackers'. Reacted angry. has sub event find out who did it. Effected is viewed by millions of people. It can be becuase online video. want to PersonX watches the video.. want to PersonX watches the video.. Caused they want to make a movie about it. becuase they want to make a movie about it. wanted to make a documentary. wanted to make a movie about it. Intended to make a point. needed to make a video. isFilledBy video game. consists of  violent. 6590,-0.5719,The sentiment score is negative
440908772,2016-05-18 08:59:00+00:00,eng,0.9,http://www.themalaymailonline.com/world/article/regulator-condemns-uk-newspapers-queen-backs-brexit-claim,Regulator condemns UK newspaper's 'Queen Backs Brexit' claim,eng-2167008,themalaymailonline.com,sure-information-crossing,Regulator condemns UK newspaper's 'Queen Backs Brexit' claim,Reacted. becuase. consists of . isFilledBy. Caused. want to. It can be becuase. wanted. wanted. needed. 6580, angry.  Regulator.  Regulator.  Regulator.  Regulator.  Regulator condemns the newspaper's 'Queen Backs Brexit' claim.  Regulators are not allowed to speak on the subject..  to make sure the story is accurate.  to make sure the story is accurate.  to read the article. 6580,Reacted angry. becuase Regulator. consists of  Regulator. isFilledBy Regulator. Caused Regulator. want to Regulator condemns the newspaper's 'Queen Backs Brexit' claim. It can be becuase Regulators are not allowed to speak on the subject.. wanted to make sure the story is accurate. wanted to make sure the story is accurate. needed to read the article. 6580,Regulator condemns UK newspaper's 'Queen Backs Brexit' claim. Reacted angry. becuase Regulator. consists of  Regulator. isFilledBy Regulator. Caused Regulator. want to Regulator condemns the newspaper's 'Queen Backs Brexit' claim. It can be becuase Regulators are not allowed to speak on the subject.. wanted to make sure the story is accurate. wanted to make sure the story is accurate. needed to read the article. 6580,-0.5423,The sentiment score is negative
996069059,2018-11-16 12:33:00+00:00,eng,0.5,http://www.kurv.com/north-korea-deports-american-even-as-it-boasts-of-new-weapon/,North Korea Deports American Even As It Boasts Of New Weapon,eng-4422552,kurv.com,sure-information-crossing,North Korea Deports American Even As It Boasts Of New Weapon,Reacted. has sub event. Effected. consists of . want to. It can be becuase. want to. becuase. Caused. needed. wanted. wanted. isFilledBy. 8069, angry.  gets arrested.  gets arrested.  hostile.  PersonX is deported to another country..  PersonX is not a threat to the country..  PersonY is arrested.  PersonY is deported to another country..  they want to get rid of him.  to find a way to get rid of the American.  to get out of the country.  to get rid of the American.  weapon. 8069,Reacted angry. has sub event gets arrested. Effected gets arrested. consists of  hostile. want to PersonX is deported to another country.. It can be becuase PersonX is not a threat to the country.. want to PersonY is arrested. becuase PersonY is deported to another country.. Caused they want to get rid of him. needed to find a way to get rid of the American. wanted to get out of the country. wanted to get rid of the American. isFilledBy weapon. 8069,North Korea Deports American Even As It Boasts Of New Weapon. Reacted angry. has sub event gets arrested. Effected gets arrested. consists of  hostile. want to PersonX is deported to another country.. It can be becuase PersonX is not a threat to the country.. want to PersonY is arrested. becuase PersonY is deported to another country.. Caused they want to get rid of him. needed to find a way to get rid of the American. wanted to get out of the country. wanted to get rid of the American. isFilledBy weapon. 8069,-0.296,The sentiment score is negative
475629204,2016-07-19 03:45:00+00:00,eng,0.8,http://hosted2.ap.org/CARIE/6b85546689744819aa7a64cd3ca6cee6/Article_2016-07-18-US--GOP%202016-Convention-The%20Latest/id-4b62557bce364682b532a5edffb31b84,The Latest: GOP evening ends with emphasis on military,eng-2304671,hosted.ap.org,sure-information-crossing,The Latest: GOP evening ends with emphasis on military,Caused. has sub event. It can be becuase. want to. want to. isFilledBy. wanted. consists of . Effected. Intended. needed. Reacted. becuase. wanted. has sub event. Effected. Reacted. consists of . isFilledBy. want to. Caused. want to. becuase. It can be becuase. wanted. wanted. needed. Intended. 118, the event is over.  get tired of talking about military.  The event is over..  the event is over.  the event is over.  military.  to go home.  military.  gets booed off stage.  to show support for the military.  to make a speech.  happy.  the event is over.  to go home.  get tired of talking about military.  gets booed off stage.  happy.  military.  military.  the event is over.  the event is over.  the event is over.  the event is over.  The event is over..  to go home.  to go home.  to make a speech.  to show support for the military. 118,Caused the event is over. has sub event get tired of talking about military. It can be becuase The event is over.. want to the event is over. want to the event is over. isFilledBy military. wanted to go home. consists of  military. Effected gets booed off stage. Intended to show support for the military. needed to make a speech. Reacted happy. becuase the event is over. wanted to go home. has sub event get tired of talking about military. Effected gets booed off stage. Reacted happy. consists of  military. isFilledBy military. want to the event is over. Caused the event is over. want to the event is over. becuase the event is over. It can be becuase The event is over.. wanted to go home. wanted to go home. needed to make a speech. Intended to show support for the military. 118,The Latest: GOP evening ends with emphasis on military. Caused the event is over. has sub event get tired of talking about military. It can be becuase The event is over.. want to the event is over. want to the event is over. isFilledBy military. wanted to go home. consists of  military. Effected gets booed off stage. Intended to show support for the military. needed to make a speech. Reacted happy. becuase the event is over. wanted to go home. has sub event get tired of talking about military. Effected gets booed off stage. Reacted happy. consists of  military. isFilledBy military. want to the event is over. Caused the event is over. want to the event is over. becuase the event is over. It can be becuase The event is over.. wanted to go home. wanted to go home. needed to make a speech. Intended to show support for the military. 118,0,The sentiment score is neutral
482873278,2016-08-02 04:39:00+00:00,eng,0.8,http://www.reuters.com/article/us-japan-politics-cabinet-idUSKCN10D0AD,"Japan's Abe, eyeing lengthy rule, to opt for stability in cabinet rejig",eng-2339764,reuters.com,sure-information-crossing,"Japan's Abe, eyeing lengthy rule, to opt for stability in cabinet rejig",isFilledBy. has sub event. It can be becuase. Reacted. Caused. consists of . Intended. wanted. needed. wanted. want to. want to. isFilledBy. has sub event. It can be becuase. consists of . Caused. Reacted. Intended. wanted. needed. wanted. want to. want to. 3977, cabinet.  get a new job.  Japan's prime minister has a long term rule..  stable.  stable.  stable.  to be in power.  to be in power.  to be in power.  to be in power for a long time.  to opt for stability in cabinet rejig.  to opt for stability in cabinet rejig.  cabinet.  get a new job.  Japan's prime minister has a long term rule..  stable.  stable.  stable.  to be in power.  to be in power.  to be in power.  to be in power for a long time.  to opt for stability in cabinet rejig.  to opt for stability in cabinet rejig. 3977,isFilledBy cabinet. has sub event get a new job. It can be becuase Japan's prime minister has a long term rule.. Reacted stable. Caused stable. consists of  stable. Intended to be in power. wanted to be in power. needed to be in power. wanted to be in power for a long time. want to to opt for stability in cabinet rejig. want to to opt for stability in cabinet rejig. isFilledBy cabinet. has sub event get a new job. It can be becuase Japan's prime minister has a long term rule.. consists of  stable. Caused stable. Reacted stable. Intended to be in power. wanted to be in power. needed to be in power. wanted to be in power for a long time. want to to opt for stability in cabinet rejig. want to to opt for stability in cabinet rejig. 3977,"Japan's Abe, eyeing lengthy rule, to opt for stability in cabinet rejig. isFilledBy cabinet. has sub event get a new job. It can be becuase Japan's prime minister has a long term rule.. Reacted stable. Caused stable. consists of  stable. Intended to be in power. wanted to be in power. needed to be in power. wanted to be in power for a long time. want to to opt for stability in cabinet rejig. want to to opt for stability in cabinet rejig. isFilledBy cabinet. has sub event get a new job. It can be becuase Japan's prime minister has a long term rule.. consists of  stable. Caused stable. Reacted stable. Intended to be in power. wanted to be in power. needed to be in power. wanted to be in power for a long time. want to to opt for stability in cabinet rejig. want to to opt for stability in cabinet rejig. 3977",0,The sentiment score is neutral
