id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
382902224,2016-02-17T19:51:00Z,eng,0.792156875,http://hotair.com/archives/2016/02/17/gowdy-cruz-campaign-lied-about-my-endorsement/,Gowdy: Cruz’ campaign lied about my endorsement,eng-1936895,hotair.com,Crossed-PA,Gowdy: Cruz’ campaign lied about my endorsement,consists of . becuase. Effected. isFilledBy. Reacted. want to. want to. Caused. It can be becuase. wanted. wanted. 76, deceitful.  G.O.D.Y..  gets yelled at.  gowdy.  guilty.  PersonX gets arrested for perjury..  PersonX tells me the truth..  the campaign lied about my endorsement.  The campaign lied about my endorsement..  to find out what the campaign lied about.  to win the election. 76,consists of  deceitful. becuase G.O.D.Y.. Effected gets yelled at. isFilledBy gowdy. Reacted guilty. want to PersonX gets arrested for perjury.. want to PersonX tells me the truth.. Caused the campaign lied about my endorsement. It can be becuase The campaign lied about my endorsement.. wanted to find out what the campaign lied about. wanted to win the election. 76,Gowdy: Cruz’ campaign lied about my endorsement. consists of  deceitful. becuase G.O.D.Y.. Effected gets yelled at. isFilledBy gowdy. Reacted guilty. want to PersonX gets arrested for perjury.. want to PersonX tells me the truth.. Caused the campaign lied about my endorsement. It can be becuase The campaign lied about my endorsement.. wanted to find out what the campaign lied about. wanted to win the election. 76,-0.0772,The sentiment score is negative
407950347,2016-03-27T01:35:00Z,eng,0.772549033,http://www.alternet.org/election-2016/sanders-takes-significant-bite-out-clintons-lead-big-wins-saturdays-caucuses,Sanders Takes Significant Bite Out of Clinton's Lead With Big Wins in Saturday's Caucuses,eng-2035066,alternet.org,Crossed-PA,Sanders Takes Significant Bite Out of Clinton's Lead With Big Wins in Saturday's Caucuses,Reacted. want to. want to. isFilledBy. It can be becuase. needed. wanted. Intended. wanted. consists of . Caused. has sub event. becuase. Effected. Effected. 166, happy.  PersonX wins the election..  PersonX wins the election..  race.  They are too far behind..  to campaign hard.  to win the election.  to win the election.  to win the election.  victorious.  victorious.  win the election.  win the election.  wins the election.  wins the election. 166,Reacted happy. want to PersonX wins the election.. want to PersonX wins the election.. isFilledBy race. It can be becuase They are too far behind.. needed to campaign hard. wanted to win the election. Intended to win the election. wanted to win the election. consists of  victorious. Caused victorious. has sub event win the election. becuase win the election. Effected wins the election. Effected wins the election. 166,Sanders Takes Significant Bite Out of Clinton's Lead With Big Wins in Saturday's Caucuses. Reacted happy. want to PersonX wins the election.. want to PersonX wins the election.. isFilledBy race. It can be becuase They are too far behind.. needed to campaign hard. wanted to win the election. Intended to win the election. wanted to win the election. consists of  victorious. Caused victorious. has sub event win the election. becuase win the election. Effected wins the election. Effected wins the election. 166,0.6705,The sentiment score is positive
399278452,2016-03-13T01:42:00Z,eng,0.796078444,http://www.breitbart.com/big-government/2016/03/12/ted-cruz-dominates-wyoming-caucus/,Ted Cruz Dominates Wyoming Caucus - Breitbart,eng-1996599,breitbart.com,Crossed-PA,Ted Cruz Dominates Wyoming Caucus - Breitbart,consists of . Effected. Reacted. isFilledBy. want to. want to. becuase. Caused. It can be becuase. needed. wanted. wanted. has sub event. 74, conservative.  gets a lot of votes.  good about themselves.  news.  Ted Cruz wins the Wyoming Caucus.  Ted Cruz wins the Wyoming Caucus.  Ted Cruz wins the Wyoming Caucus.  Ted Cruz wins the Wyoming Caucus.  Ted Cruz wins the Wyoming Caucus.  to be in the race.  to vote for him.  to win the election.  win the election. 74,consists of  conservative. Effected gets a lot of votes. Reacted good about themselves. isFilledBy news. want to Ted Cruz wins the Wyoming Caucus. want to Ted Cruz wins the Wyoming Caucus. becuase Ted Cruz wins the Wyoming Caucus. Caused Ted Cruz wins the Wyoming Caucus. It can be becuase Ted Cruz wins the Wyoming Caucus. needed to be in the race. wanted to vote for him. wanted to win the election. has sub event win the election. 74,Ted Cruz Dominates Wyoming Caucus - Breitbart. consists of  conservative. Effected gets a lot of votes. Reacted good about themselves. isFilledBy news. want to Ted Cruz wins the Wyoming Caucus. want to Ted Cruz wins the Wyoming Caucus. becuase Ted Cruz wins the Wyoming Caucus. Caused Ted Cruz wins the Wyoming Caucus. It can be becuase Ted Cruz wins the Wyoming Caucus. needed to be in the race. wanted to vote for him. wanted to win the election. has sub event win the election. 74,0.0516,The sentiment score is positive
430750615,2016-05-02T15:35:00Z,eng,0.807843149,http://www.alternet.org/election-2016/bernie-sanders-vows-he-will-take-his-fight-all-way-democratic-convention,Bernie Sanders Vows He Will Take His Fight All the Way to Democratic Convention,eng-2117653,alternet.org,Crossed-PA,Bernie Sanders Vows He Will Take His Fight All the Way to Democratic Convention,isFilledBy. consists of . Effected. Reacted. Caused. becuase. want to. It can be becuase. want to. needed. wanted. Intended. wanted. has sub event. 51, campaign signs.  determined.  gets booed off stage.  hopeful.  hopeful.  PersonX is elected to the position..  PersonX is elected to the position..  PersonX is not a candidate..  PersonX wins the election..  to be in a position of power.  to vote for him.  to win the election.  to win the election.  win the election. 51,isFilledBy campaign signs. consists of  determined. Effected gets booed off stage. Reacted hopeful. Caused hopeful. becuase PersonX is elected to the position.. want to PersonX is elected to the position.. It can be becuase PersonX is not a candidate.. want to PersonX wins the election.. needed to be in a position of power. wanted to vote for him. Intended to win the election. wanted to win the election. has sub event win the election. 51,Bernie Sanders Vows He Will Take His Fight All the Way to Democratic Convention. isFilledBy campaign signs. consists of  determined. Effected gets booed off stage. Reacted hopeful. Caused hopeful. becuase PersonX is elected to the position.. want to PersonX is elected to the position.. It can be becuase PersonX is not a candidate.. want to PersonX wins the election.. needed to be in a position of power. wanted to vote for him. Intended to win the election. wanted to win the election. has sub event win the election. 51,-0.3818,The sentiment score is negative
444208552,2016-05-23T18:34:00Z,eng,0.760784328,http://www.salon.com/2016/05/23/warriors_green_could_face_discipline_after_flagrant_foul/,Warriors' Green could face discipline after flagrant foul,eng-2178299,salon.com,Crossed-PA,Warriors' Green could face discipline after flagrant foul,Reacted. isFilledBy. Effected. Caused. It can be becuase. want to. want to. becuase. wanted. wanted. needed. consists of . has sub event. 8, angry.  basketball.  gets yelled at.  they are not in the right place at the right time.  They are too far away from the action..  they get a warning from the coach.  they get a warning from the league.  they get in trouble for it.  to file a complaint.  to get away with it.  to hit someone.  violent.  yell at the referee. 8,Reacted angry. isFilledBy basketball. Effected gets yelled at. Caused they are not in the right place at the right time. It can be becuase They are too far away from the action.. want to they get a warning from the coach. want to they get a warning from the league. becuase they get in trouble for it. wanted to file a complaint. wanted to get away with it. needed to hit someone. consists of  violent. has sub event yell at the referee. 8,Warriors' Green could face discipline after flagrant foul. Reacted angry. isFilledBy basketball. Effected gets yelled at. Caused they are not in the right place at the right time. It can be becuase They are too far away from the action.. want to they get a warning from the coach. want to they get a warning from the league. becuase they get in trouble for it. wanted to file a complaint. wanted to get away with it. needed to hit someone. consists of  violent. has sub event yell at the referee. 8,0,The sentiment score is neutral
431117047,2016-05-03T04:49:00Z,eng,0.843137264,http://www.mid-day.com/articles/back-injury-forces-roger-federer-to-pull-out-of-madrid-masters/17192171,Back injury forces Roger Federer to pull out of Madrid Masters - Sports,eng-2124602,mid-day.com,Crossed-PA,Back injury forces Roger Federer to pull out of Madrid Masters - Sports,isFilledBy. It can be becuase. want to. want to. becuase. Effected. has sub event. consists of . Caused. Reacted. needed. wanted. wanted. 24, back.  back injury.  back pain.  back pain.  back pain.  get injured again.  have to go to the hospital.  injured.  injured.  sad.  to be playing tennis.  to go to the hospital.  to go to the hospital. 24,isFilledBy back. It can be becuase back injury. want to back pain. want to back pain. becuase back pain. Effected get injured again. has sub event have to go to the hospital. consists of  injured. Caused injured. Reacted sad. needed to be playing tennis. wanted to go to the hospital. wanted to go to the hospital. 24,Back injury forces Roger Federer to pull out of Madrid Masters - Sports. isFilledBy back. It can be becuase back injury. want to back pain. want to back pain. becuase back pain. Effected get injured again. has sub event have to go to the hospital. consists of  injured. Caused injured. Reacted sad. needed to be playing tennis. wanted to go to the hospital. wanted to go to the hospital. 24,-0.4215,The sentiment score is negative
455683054,2016-06-12T02:39:00Z,eng,0.760784328,http://sports.inquirer.net/214214/nba-green-warriors-await-word-from-league-on-possible-ban,"NBA: Green, Warriors await word from league on possible ban - Inquirer Sports",eng-2225445,sports.inquirer.net,Crossed-PA,"NBA: Green, Warriors await word from league on possible ban - Inquirer Sports",isFilledBy. has sub event. want to. It can be becuase. Effected. want to. becuase. needed. wanted. wanted. Reacted. consists of . Caused. 30, basketball.  have to wait for a decision.  NBA.  The NBA is waiting for word from the league..  they wait for a response.  they wait for the league to make a decision.  they want to win the game.  to have a meeting with the league.  to wait for the verdict.  to wait for the verdict.  worried.  worried.  worried. 30,isFilledBy basketball. has sub event have to wait for a decision. want to NBA. It can be becuase The NBA is waiting for word from the league.. Effected they wait for a response. want to they wait for the league to make a decision. becuase they want to win the game. needed to have a meeting with the league. wanted to wait for the verdict. wanted to wait for the verdict. Reacted worried. consists of  worried. Caused worried. 30,"NBA: Green, Warriors await word from league on possible ban - Inquirer Sports. isFilledBy basketball. has sub event have to wait for a decision. want to NBA. It can be becuase The NBA is waiting for word from the league.. Effected they wait for a response. want to they wait for the league to make a decision. becuase they want to win the game. needed to have a meeting with the league. wanted to wait for the verdict. wanted to wait for the verdict. Reacted worried. consists of  worried. Caused worried. 30",-0.4939,The sentiment score is negative
556512459,2016-11-30T04:12:00Z,eng,0.80392158,http://omanobserver.om/thailands-parliament-invite-crown-prince-become-new-king/,Thailand's parliament to invite crown prince to become new king,eng-2682602,omanobserver.om,Crossed-PA,Thailand's parliament to invite crown prince to become new king,Reacted. Effected. has sub event. consists of . isFilledBy. It can be becuase. wanted. needed. Intended. wanted. 167, happy.  has a new king.  have a new king.  hopeful.  thailand.  Thailand's parliament is not in session..  to be king.  to get the approval of the parliament.  to have a new king.  to make a speech. 167,Reacted happy. Effected has a new king. has sub event have a new king. consists of  hopeful. isFilledBy thailand. It can be becuase Thailand's parliament is not in session.. wanted to be king. needed to get the approval of the parliament. Intended to have a new king. wanted to make a speech. 167,Thailand's parliament to invite crown prince to become new king. Reacted happy. Effected has a new king. has sub event have a new king. consists of  hopeful. isFilledBy thailand. It can be becuase Thailand's parliament is not in session.. wanted to be king. needed to get the approval of the parliament. Intended to have a new king. wanted to make a speech. 167,0.1531,The sentiment score is positive
445237401,2016-05-25T08:19:00Z,eng,0.768627465,http://www.salon.com/2016/05/25/protests_turn_violent_outside_trump_rally_in_new_mexico_2/,Protests turn violent outside Trump rally in New Mexico,eng-2184259,salon.com,Crossed-PA,Protests turn violent outside Trump rally in New Mexico,Reacted. Reacted. Effected. has sub event. Effected. want to. want to. Caused. It can be becuase. isFilledBy. becuase. needed. wanted. wanted. consists of . 9, angry.  angry.  get arrested.  get arrested.  gets arrested.  PersonX is arrested by police.  PersonX is arrested by the police.  PersonX is arrested..  PersonX is in jail..  protest.  protests turn violent in New Mexico.  to be at the rally.  to get away from the scene.  to get away from the scene.  violent. 9,Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 9,Protests turn violent outside Trump rally in New Mexico. Reacted angry. Reacted angry. Effected get arrested. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by police. want to PersonX is arrested by the police. Caused PersonX is arrested.. It can be becuase PersonX is in jail.. isFilledBy protest. becuase protests turn violent in New Mexico. needed to be at the rally. wanted to get away from the scene. wanted to get away from the scene. consists of  violent. 9,-0.7003,The sentiment score is negative
409211176,2016-03-29T15:55:00Z,eng,0.760784328,http://www.bworldonline.com/content.php?section=TopStory&title=barely-a-tenth-of-stolen-81m-found&id=125147,Barely a tenth of stolen $81M found,eng-2038267,bworldonline.com,Crossed-PA,Barely a tenth of stolen $81M found,becuase. needed. has sub event. consists of . isFilledBy. want to. Reacted. It can be becuase. Caused. wanted. 42, Borrowed money..  find out how much was stolen.  find out how much was stolen.  greedy.  money.  money stolen.  relieved.  They are too greedy..  they have to pay for it.  to find a buyer. 42,becuase Borrowed money.. needed find out how much was stolen. has sub event find out how much was stolen. consists of  greedy. isFilledBy money. want to money stolen. Reacted relieved. It can be becuase They are too greedy.. Caused they have to pay for it. wanted to find a buyer. 42,Barely a tenth of stolen $81M found. becuase Borrowed money.. needed find out how much was stolen. has sub event find out how much was stolen. consists of  greedy. isFilledBy money. want to money stolen. Reacted relieved. It can be becuase They are too greedy.. Caused they have to pay for it. wanted to find a buyer. 42,-0.4472,The sentiment score is negative
