id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
570596213,2016-12-23 09:43:00+00:00,eng,0.4,http://www.dailysabah.com/europe/2016/12/23/berlin-christmas-market-attack-suspect-shot-dead-in-italy,Berlin Christmas market attack suspect shot dead in Italy,eng-2748815,dailysabah.com,sure-not-crossing,Berlin Christmas market attack suspect shot dead in Italy,needed. has sub event. Effected. want to. want to. Caused. isFilledBy. becuase. Reacted. It can be becuase. wanted. wanted. consists of . 411, find out where the suspect is.  get arrested.  gets arrested.  PersonX is arrested by the police.  PersonX is shot dead by police.  PersonX is shot dead by the police..  police car.  police shoot the suspect in the head.  sad.  The suspect is in a coma..  to hide from the police.  to hide from the police.  violent. 411,needed find out where the suspect is. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by the police. want to PersonX is shot dead by police. Caused PersonX is shot dead by the police.. isFilledBy police car. becuase police shoot the suspect in the head. Reacted sad. It can be becuase The suspect is in a coma.. wanted to hide from the police. wanted to hide from the police. consists of  violent. 411,Berlin Christmas market attack suspect shot dead in Italy. needed find out where the suspect is. has sub event get arrested. Effected gets arrested. want to PersonX is arrested by the police. want to PersonX is shot dead by police. Caused PersonX is shot dead by the police.. isFilledBy police car. becuase police shoot the suspect in the head. Reacted sad. It can be becuase The suspect is in a coma.. wanted to hide from the police. wanted to hide from the police. consists of  violent. 411,-0.8625,The sentiment score is negative
401627068,2016-03-16 15:43:00+00:00,eng,0.4,http://www1.folha.uol.com.br/internacional/en/brazil/2016/03/1750540-ex-president-lula-accepts-rousseffs-invitation-to-become-chief-of-staff.shtml,Ex-President Lula Accepts Rousseff's Invitation to Become Chief-of-Staff,eng-2002974,folha.uol.com.br,sure-not-crossing,Ex-President Lula Accepts Rousseff's Invitation to Become Chief-of-Staff,isFilledBy. want to. want to. Caused. It can be becuase. has sub event. becuase. Effected. Reacted. consists of . Intended. needed. wanted. wanted. 12, ex-president.  Ex-President Lula Accepts the Invitation to Become Chief-of-Staff.  Ex-President Lula accepts the invitation to become Chief-of-Staff..  Ex-President Lula accepts the invitation to become the chief of staff..  Ex-President Lula doesn't have the authority to do so..  get a new job.  get a new job.  gets a new job.  happy.  powerful.  to be in charge.  to have been elected president.  to make sure they do a good job.  to work for the government. 12,isFilledBy ex-president. want to Ex-President Lula Accepts the Invitation to Become Chief-of-Staff. want to Ex-President Lula accepts the invitation to become Chief-of-Staff.. Caused Ex-President Lula accepts the invitation to become the chief of staff.. It can be becuase Ex-President Lula doesn't have the authority to do so.. has sub event get a new job. becuase get a new job. Effected gets a new job. Reacted happy. consists of  powerful. Intended to be in charge. needed to have been elected president. wanted to make sure they do a good job. wanted to work for the government. 12,Ex-President Lula Accepts Rousseff's Invitation to Become Chief-of-Staff. isFilledBy ex-president. want to Ex-President Lula Accepts the Invitation to Become Chief-of-Staff. want to Ex-President Lula accepts the invitation to become Chief-of-Staff.. Caused Ex-President Lula accepts the invitation to become the chief of staff.. It can be becuase Ex-President Lula doesn't have the authority to do so.. has sub event get a new job. becuase get a new job. Effected gets a new job. Reacted happy. consists of  powerful. Intended to be in charge. needed to have been elected president. wanted to make sure they do a good job. wanted to work for the government. 12,0.3182,The sentiment score is positive
401497995,2016-03-16 14:31:00+00:00,eng,0.1,http://www.buenosairesherald.com/article/210778/,Education minister denies attempted cover-up operation,eng-2002974,buenosairesherald.com,sure-not-crossing,Education minister denies attempted cover-up operation,want to. has sub event. Reacted. consists of . isFilledBy. needed. wanted. wanted. 494, education minister.  get arrested.  good about themselves.  honest.  school.  to be in charge of the school.  to defend himself.  to defend themselves. 494,want to education minister. has sub event get arrested. Reacted good about themselves. consists of  honest. isFilledBy school. needed to be in charge of the school. wanted to defend himself. wanted to defend themselves. 494,Education minister denies attempted cover-up operation. want to education minister. has sub event get arrested. Reacted good about themselves. consists of  honest. isFilledBy school. needed to be in charge of the school. wanted to defend himself. wanted to defend themselves. 494,-0.6124,The sentiment score is negative
407089647,2016-03-27 23:13:00+00:00,eng,0.4,http://www.euronews.com/2016/03/23/usa-cuba-the-winds-of-change/,USA-Cuba: the winds of change,eng-2035073,euronews.com,sure-not-crossing,USA-Cuba: the winds of change,consists of . has sub event. Reacted. needed. wanted. Caused. It can be becuase. want to. becuase. want to. isFilledBy. 7, adventurous.  get to know each other.  happy.  to be in a relationship with someone.  to make a new relationship.  USA.  USA.  USA and CUBAN.  USA-CUBA.  USA-CUBA.  windmills. 7,consists of  adventurous. has sub event get to know each other. Reacted happy. needed to be in a relationship with someone. wanted to make a new relationship. Caused USA. It can be becuase USA. want to USA and CUBAN. becuase USA-CUBA. want to USA-CUBA. isFilledBy windmills. 7,USA-Cuba: the winds of change. consists of  adventurous. has sub event get to know each other. Reacted happy. needed to be in a relationship with someone. wanted to make a new relationship. Caused USA. It can be becuase USA. want to USA and CUBAN. becuase USA-CUBA. want to USA-CUBA. isFilledBy windmills. 7,0,The sentiment score is neutral
554186610,2016-11-26 09:23:00+00:00,eng,0.4,http://www.euronews.com/2016/11/26/cuba-s-fidel-castro-dies-at-90?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Beuronews%252Fen%252Fnews%2B%2528euronews%2B-%2Bnews%2B-%2Ben%2529,Cuba's Fidel Castro dies at 90,spa-846734,euronews.com,sure-not-crossing,Cuba's Fidel Castro dies at 90,Effected. isFilledBy. has sub event. want to. want to. consists of . Reacted. becuase. Caused. It can be becuase. needed. wanted. wanted. 544, dies in prison.  funeral.  mourns.  mourns.  PersonX dies at 90.  sad.  sad.  they are no longer in power.  they are no longer in power.  They don't have the money to bury them..  to be in power.  to celebrate his life.  to go to heaven. 544,Effected dies in prison. isFilledBy funeral. has sub event mourns. want to mourns. want to PersonX dies at 90. consists of  sad. Reacted sad. becuase they are no longer in power. Caused they are no longer in power. It can be becuase They don't have the money to bury them.. needed to be in power. wanted to celebrate his life. wanted to go to heaven. 544,Cuba's Fidel Castro dies at 90. Effected dies in prison. isFilledBy funeral. has sub event mourns. want to mourns. want to PersonX dies at 90. consists of  sad. Reacted sad. becuase they are no longer in power. Caused they are no longer in power. It can be becuase They don't have the money to bury them.. needed to be in power. wanted to celebrate his life. wanted to go to heaven. 544,0,The sentiment score is neutral
376529866,2016-02-09 02:43:00+00:00,eng,0.4,http://www.dailyemerald.com/2016/02/08/new-hampshire-primary-watch-party-in-gerlinger-lounge-tuesday/,New Hampshire Primary watch party in Gerlinger Lounge Tuesday,eng-1912164,dailyemerald.com,sure-not-crossing,New Hampshire Primary watch party in Gerlinger Lounge Tuesday,Effected. Reacted. It can be becuase. want to. becuase. Caused. want to. isFilledBy. wanted. wanted. needed. Intended. Effected. has sub event. consists of . 19, get drunk.  happy.  New Hampshire.  New Hampshire primary watch party.  New Hampshire primary watch party.  New Hampshire primary watch party.  New Hampshire primary watch party.  party.  to have a good time.  to have a good time.  to have a place to watch the election.  to watch the election.  watch election results.  watch election results.  watchful. 19,Effected get drunk. Reacted happy. It can be becuase New Hampshire. want to New Hampshire primary watch party. becuase New Hampshire primary watch party. Caused New Hampshire primary watch party. want to New Hampshire primary watch party. isFilledBy party. wanted to have a good time. wanted to have a good time. needed to have a place to watch the election. Intended to watch the election. Effected watch election results. has sub event watch election results. consists of  watchful. 19,New Hampshire Primary watch party in Gerlinger Lounge Tuesday. Effected get drunk. Reacted happy. It can be becuase New Hampshire. want to New Hampshire primary watch party. becuase New Hampshire primary watch party. Caused New Hampshire primary watch party. want to New Hampshire primary watch party. isFilledBy party. wanted to have a good time. wanted to have a good time. needed to have a place to watch the election. Intended to watch the election. Effected watch election results. has sub event watch election results. consists of  watchful. 19,0.4019,The sentiment score is positive
375051983,2016-02-06 16:27:00+00:00,eng,0.4,http://www.chinapost.com.tw/taiwan/national/national-news/2016/02/07/457978/President-wants.htm,President wants all-out efforts in earthquake rescue,eng-1908595,chinapost.com.tw,sure-not-crossing,President wants all-out efforts in earthquake rescue,isFilledBy. has sub event. Effected. consists of . want to. want to. becuase. Reacted. It can be becuase. Caused. needed. wanted. Intended. 563, earthquake.  get ready for the next one.  gets thanked.  hardworking.  PersonX is killed in the earthquake.  President of the United States declares a state of emergency.  president of united states of america.  relieved.  The earthquake is too big..  the people of the country to be safe.  to be in charge of the rescue effort.  to make sure everyone is safe.  to save lives. 563,isFilledBy earthquake. has sub event get ready for the next one. Effected gets thanked. consists of  hardworking. want to PersonX is killed in the earthquake. want to President of the United States declares a state of emergency. becuase president of united states of america. Reacted relieved. It can be becuase The earthquake is too big.. Caused the people of the country to be safe. needed to be in charge of the rescue effort. wanted to make sure everyone is safe. Intended to save lives. 563,President wants all-out efforts in earthquake rescue. isFilledBy earthquake. has sub event get ready for the next one. Effected gets thanked. consists of  hardworking. want to PersonX is killed in the earthquake. want to President of the United States declares a state of emergency. becuase president of united states of america. Reacted relieved. It can be becuase The earthquake is too big.. Caused the people of the country to be safe. needed to be in charge of the rescue effort. wanted to make sure everyone is safe. Intended to save lives. 563,0.5106,The sentiment score is positive
387377865,2016-02-24 08:43:00+00:00,eng,0.4,http://www.koreaherald.com/view.php?ud=20160224001166,Korea women's football can qualify for Olympics: coach,eng-1955319,koreaherald.com,sure-not-crossing,Korea women's football can qualify for Olympics: coach,Effected. Reacted. becuase. want to. want to. Caused. isFilledBy. consists of . It can be becuase. Intended. needed. wanted. wanted. has sub event. 437, gets a medal.  happy.  Korea women's football can qualify for Olympics..  Korea women's football to qualify for Olympics.  KOREAN WOMEN'S FOOTBALL TEAM.  KOREAN WOMEN'S FOOTBALL TEAM.  soccer.  talented.  They don't have the talent..  to be the best.  to have a good team.  to win the competition.  to win the competition.  win the competition. 437,Effected gets a medal. Reacted happy. becuase Korea women's football can qualify for Olympics.. want to Korea women's football to qualify for Olympics. want to KOREAN WOMEN'S FOOTBALL TEAM. Caused KOREAN WOMEN'S FOOTBALL TEAM. isFilledBy soccer. consists of  talented. It can be becuase They don't have the talent.. Intended to be the best. needed to have a good team. wanted to win the competition. wanted to win the competition. has sub event win the competition. 437,Korea women's football can qualify for Olympics: coach. Effected gets a medal. Reacted happy. becuase Korea women's football can qualify for Olympics.. want to Korea women's football to qualify for Olympics. want to KOREAN WOMEN'S FOOTBALL TEAM. Caused KOREAN WOMEN'S FOOTBALL TEAM. isFilledBy soccer. consists of  talented. It can be becuase They don't have the talent.. Intended to be the best. needed to have a good team. wanted to win the competition. wanted to win the competition. has sub event win the competition. 437,0,The sentiment score is neutral
409086771,2016-03-29 12:23:00+00:00,eng,0.4,http://www.koreaherald.com/view.php?ud=20160329001109,EgyptAir hijacker arrested: Cyprus officials,eng-2038407,koreaherald.com,sure-not-crossing,EgyptAir hijacker arrested: Cyprus officials,want to. has sub event. consists of . It can be becuase. Effected. Effected. want to. isFilledBy. Reacted. Caused. becuase. wanted. wanted. Intended. needed. want to. has sub event. consists of . It can be becuase. Effected. Effected. want to. isFilledBy. Reacted. Caused. becuase. wanted. wanted. Intended. needed. 451, arrest the hijacker.  arrest the hijacker.  dangerous.  EgyptAir hijacker arrested.  get arrested.  gets arrested.  PersonX is arrested by the police.  plane.  relieved.  they arrest the hijacker.  they arrest the hijacker and put him in jail.  to arrest the hijacker.  to arrest the hijacker.  to be safe.  to find the hijacker.  arrest the hijacker.  arrest the hijacker.  dangerous.  EgyptAir hijacker arrested.  get arrested.  gets arrested.  PersonX is arrested by the police.  plane.  relieved.  they arrest the hijacker.  they arrest the hijacker and put him in jail.  to arrest the hijacker.  to arrest the hijacker.  to be safe.  to find the hijacker. 451,want to arrest the hijacker. has sub event arrest the hijacker. consists of  dangerous. It can be becuase EgyptAir hijacker arrested. Effected get arrested. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy plane. Reacted relieved. Caused they arrest the hijacker. becuase they arrest the hijacker and put him in jail. wanted to arrest the hijacker. wanted to arrest the hijacker. Intended to be safe. needed to find the hijacker. want to arrest the hijacker. has sub event arrest the hijacker. consists of  dangerous. It can be becuase EgyptAir hijacker arrested. Effected get arrested. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy plane. Reacted relieved. Caused they arrest the hijacker. becuase they arrest the hijacker and put him in jail. wanted to arrest the hijacker. wanted to arrest the hijacker. Intended to be safe. needed to find the hijacker. 451,EgyptAir hijacker arrested: Cyprus officials. want to arrest the hijacker. has sub event arrest the hijacker. consists of  dangerous. It can be becuase EgyptAir hijacker arrested. Effected get arrested. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy plane. Reacted relieved. Caused they arrest the hijacker. becuase they arrest the hijacker and put him in jail. wanted to arrest the hijacker. wanted to arrest the hijacker. Intended to be safe. needed to find the hijacker. want to arrest the hijacker. has sub event arrest the hijacker. consists of  dangerous. It can be becuase EgyptAir hijacker arrested. Effected get arrested. Effected gets arrested. want to PersonX is arrested by the police. isFilledBy plane. Reacted relieved. Caused they arrest the hijacker. becuase they arrest the hijacker and put him in jail. wanted to arrest the hijacker. wanted to arrest the hijacker. Intended to be safe. needed to find the hijacker. 451,-0.4767,The sentiment score is negative
483431810,2016-08-03 04:04:00+00:00,eng,0.4,http://world.kbs.co.kr/english/news/news_In_detail.htm?No=120845,Abe Denounces N. Korea Ballistic Missile Launch,eng-2339764,world.kbs.co.kr,sure-not-crossing,Abe Denounces N. Korea Ballistic Missile Launch,isFilledBy. Caused. has sub event. becuase. want to. It can be becuase. consists of . Reacted. Effected. want to. Intended. wanted. wanted. needed. 0, a car.  a nuclear war.  a nuclear war is averted.  a nuclear war with n.korea.  A.K.A..  A.K.A..  angry.  angry.  gets yelled at.  PersonY asks why they did that..  to be a leader.  to get rid of the threat.  to make a statement.  to make a statement. 0,isFilledBy a car. Caused a nuclear war. has sub event a nuclear war is averted. becuase a nuclear war with n.korea. want to A.K.A.. It can be becuase A.K.A.. consists of  angry. Reacted angry. Effected gets yelled at. want to PersonY asks why they did that.. Intended to be a leader. wanted to get rid of the threat. wanted to make a statement. needed to make a statement. 0,Abe Denounces N. Korea Ballistic Missile Launch. isFilledBy a car. Caused a nuclear war. has sub event a nuclear war is averted. becuase a nuclear war with n.korea. want to A.K.A.. It can be becuase A.K.A.. consists of  angry. Reacted angry. Effected gets yelled at. want to PersonY asks why they did that.. Intended to be a leader. wanted to get rid of the threat. wanted to make a statement. needed to make a statement. 0,-0.4404,The sentiment score is negative
