id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
384401598,2016-02-19T16:49:00Z,eng,0.78039217,http://atr.rollcall.com/james-clyburn-backs-clinton-ahead-south-carolina-primary/,James Clyburn Backs Clinton Ahead of South Carolina Primary,eng-1943697,atr.rollcall.com,Crossed-PA,James Clyburn Backs Clinton Ahead of South Carolina Primary,has sub event. Effected. Reacted. Caused. want to. want to. becuase. consists of . isFilledBy. It can be becuase. Intended. wanted. wanted. 470, get a raise.  gets yelled at.  good about themselves.  PersonX is not a candidate for office..  PersonX wins the election..  PersonY asks PersonY to vote for PersonY.  PersonY asks PersonY why they are supporting PersonY..  supportive.  the flag.  They are not in the same race..  to support a candidate.  to support the candidate.  to win the election. 470,has sub event get a raise. Effected gets yelled at. Reacted good about themselves. Caused PersonX is not a candidate for office.. want to PersonX wins the election.. want to PersonY asks PersonY to vote for PersonY. becuase PersonY asks PersonY why they are supporting PersonY.. consists of  supportive. isFilledBy the flag. It can be becuase They are not in the same race.. Intended to support a candidate. wanted to support the candidate. wanted to win the election. 470,James Clyburn Backs Clinton Ahead of South Carolina Primary. has sub event get a raise. Effected gets yelled at. Reacted good about themselves. Caused PersonX is not a candidate for office.. want to PersonX wins the election.. want to PersonY asks PersonY to vote for PersonY. becuase PersonY asks PersonY why they are supporting PersonY.. consists of  supportive. isFilledBy the flag. It can be becuase They are not in the same race.. Intended to support a candidate. wanted to support the candidate. wanted to win the election. 470,-0.0516,The sentiment score is negative
462795874,2016-06-24T10:09:00Z,eng,0.772549033,http://www.thetimes.co.uk/article/sinn-fein-seeks-vote-on-northern-irelands-future-after-brexit-result-9f7gh0l7w,Sinn Fein seeks vote on Northern Ireland's future after Brexit result,eng-2252344,thetimes.co.uk,Crossed-PA,Sinn Fein seeks vote on Northern Ireland's future after Brexit result,has sub event. Effected. Caused. becuase. consists of . Reacted. want to. want to. It can be becuase. needed. Intended. wanted. wanted. isFilledBy. 481, get a vote.  has to make a decision.  have a say in the future of the country.  have a vote.  hopeful.  hopeful.  PersonX asks for a vote..  SINF FERRY HAS NO MONEY.  They don't have the votes..  to be a member of a political party.  to make a decision.  to make a statement.  to make a statement.  vote on future. 481,has sub event get a vote. Effected has to make a decision. Caused have a say in the future of the country. becuase have a vote. consists of  hopeful. Reacted hopeful. want to PersonX asks for a vote.. want to SINF FERRY HAS NO MONEY. It can be becuase They don't have the votes.. needed to be a member of a political party. Intended to make a decision. wanted to make a statement. wanted to make a statement. isFilledBy vote on future. 481,Sinn Fein seeks vote on Northern Ireland's future after Brexit result. has sub event get a vote. Effected has to make a decision. Caused have a say in the future of the country. becuase have a vote. consists of  hopeful. Reacted hopeful. want to PersonX asks for a vote.. want to SINF FERRY HAS NO MONEY. It can be becuase They don't have the votes.. needed to be a member of a political party. Intended to make a decision. wanted to make a statement. wanted to make a statement. isFilledBy vote on future. 481,0,The sentiment score is neutral
564932727,2016-12-13T16:57:00Z,eng,0.792156875,http://www.commondreams.org/news/2016/12/12/federal-judge-blocks-jill-steins-pennsylvania-recount-effort,Federal Judge Blocks Jill Stein's Pennsylvania Recount Effort,eng-2719127,commondreams.org,Crossed-PA,Federal Judge Blocks Jill Stein's Pennsylvania Recount Effort,isFilledBy. Reacted. want to. becuase. Caused. consists of . has sub event. Effected. want to. It can be becuase. wanted. wanted. needed. 144, ballot box.  disappointed.  federal court.  federal court.  federal court.  legal.  lose the election.  loses the election.  PersonX wins the election.  The judge is not a judge..  to appeal the decision.  to appeal the decision.  to file a lawsuit. 144,isFilledBy ballot box. Reacted disappointed. want to federal court. becuase federal court. Caused federal court. consists of  legal. has sub event lose the election. Effected loses the election. want to PersonX wins the election. It can be becuase The judge is not a judge.. wanted to appeal the decision. wanted to appeal the decision. needed to file a lawsuit. 144,Federal Judge Blocks Jill Stein's Pennsylvania Recount Effort. isFilledBy ballot box. Reacted disappointed. want to federal court. becuase federal court. Caused federal court. consists of  legal. has sub event lose the election. Effected loses the election. want to PersonX wins the election. It can be becuase The judge is not a judge.. wanted to appeal the decision. wanted to appeal the decision. needed to file a lawsuit. 144,-0.2263,The sentiment score is negative
561732394,2016-12-08T02:11:00Z,eng,0.835294127,http://www.brandonsun.com/world/breaking-news/michigan-recount-over-pennsylvania-sets-hearing-405348906.html,Michigan recount over; Pennsylvania sets hearing,eng-2701055,brandonsun.com,Crossed-PA,Michigan recount over; Pennsylvania sets hearing,isFilledBy. want to. becuase. consists of . needed. has sub event. Effected. Reacted. It can be becuase. Caused. want to. wanted. wanted. 145, ballot box.  election.  election results.  fair.  find out what happened.  get a new election.  get a new election.  happy.  Michigan's recount is over..  Michigan's recount is over..  PersonX wins the election.  to hear the evidence.  to make a decision. 145,isFilledBy ballot box. want to election. becuase election results. consists of  fair. needed find out what happened. has sub event get a new election. Effected get a new election. Reacted happy. It can be becuase Michigan's recount is over.. Caused Michigan's recount is over.. want to PersonX wins the election. wanted to hear the evidence. wanted to make a decision. 145,Michigan recount over; Pennsylvania sets hearing. isFilledBy ballot box. want to election. becuase election results. consists of  fair. needed find out what happened. has sub event get a new election. Effected get a new election. Reacted happy. It can be becuase Michigan's recount is over.. Caused Michigan's recount is over.. want to PersonX wins the election. wanted to hear the evidence. wanted to make a decision. 145,0,The sentiment score is neutral
369738294,2016-01-30T16:21:00Z,eng,0.792156875,http://www.brandonsun.com/world/breaking-news/at-least-35-migrants-drown-trying-to-reach-greece-367094861.html,At least 35 migrants drown trying to reach Greece,eng-1879052,brandonsun.com,Crossed-PA,At least 35 migrants drown trying to reach Greece,becuase. isFilledBy. consists of . Effected. Effected. has sub event. needed. Reacted. wanted. wanted. 127, at risk of drowning.  boat.  desperate.  drowns.  drowns.  have to go to hospital.  make a plan to get to the destination.  sad.  to get to safety.  to get to safety. 127,becuase at risk of drowning. isFilledBy boat. consists of  desperate. Effected drowns. Effected drowns. has sub event have to go to hospital. needed make a plan to get to the destination. Reacted sad. wanted to get to safety. wanted to get to safety. 127,At least 35 migrants drown trying to reach Greece. becuase at risk of drowning. isFilledBy boat. consists of  desperate. Effected drowns. Effected drowns. has sub event have to go to hospital. needed make a plan to get to the destination. Reacted sad. wanted to get to safety. wanted to get to safety. 127,-0.5574,The sentiment score is negative
367797650,2016-01-27T23:07:00Z,eng,0.768627465,http://english.chosun.com/site/data/html_dir/2016/01/28/2016012800703.html,Philippines President Welcomes Japan's Emperor in Royal Visit,eng-1869094,english.chosun.com,Crossed-PA,Philippines President Welcomes Japan's Emperor in Royal Visit,consists of . Reacted. Reacted. has sub event. Effected. want to. want to. becuase. It can be becuase. Caused. wanted. wanted. needed. Intended. 418, friendly.  happy.  happy.  have a conversation with the emperor.  is greeted by the emperor.  PersonY asks PersonY if they want to go on another trip with the emperor..  PersonY is invited to the event.  PersonY is invited to the event..  The Emperor is not in the country..  The President of the Philippines is invited to the event..  to greet the emperor.  to greet the president.  to invite the emperor to the country.  to show respect. 418,consists of  friendly. Reacted happy. Reacted happy. has sub event have a conversation with the emperor. Effected is greeted by the emperor. want to PersonY asks PersonY if they want to go on another trip with the emperor.. want to PersonY is invited to the event. becuase PersonY is invited to the event.. It can be becuase The Emperor is not in the country.. Caused The President of the Philippines is invited to the event.. wanted to greet the emperor. wanted to greet the president. needed to invite the emperor to the country. Intended to show respect. 418,Philippines President Welcomes Japan's Emperor in Royal Visit. consists of  friendly. Reacted happy. Reacted happy. has sub event have a conversation with the emperor. Effected is greeted by the emperor. want to PersonY asks PersonY if they want to go on another trip with the emperor.. want to PersonY is invited to the event. becuase PersonY is invited to the event.. It can be becuase The Emperor is not in the country.. Caused The President of the Philippines is invited to the event.. wanted to greet the emperor. wanted to greet the president. needed to invite the emperor to the country. Intended to show respect. 418,0.4019,The sentiment score is positive
385950603,2016-02-22T12:23:00Z,eng,0.764705896,http://www.calgarysun.com/2016/02/21/in-his-own-words-serial-killer-robert-pickton-selling-book-on-amazon?utm_source=facebook&utm_medium=recommend-button&utm_campaign=Serial killer Robert Pickton selling memoir on Amazon,Serial killer Robert Pickton selling memoir on Amazon,eng-1949706,calgarysun.com,Crossed-PA,Serial killer Robert Pickton selling memoir on Amazon,isFilledBy. needed. has sub event. Effected. Caused. want to. becuase. want to. It can be becuase. Reacted. wanted. wanted. consists of . 171, book.  find a publisher.  find out more about the book.  gets arrested.  PersonX buys the book from Amazon..  PersonX buys the book from Amazon..  PersonX buys the book from Amazon..  PersonX buys the book..  PersonX does not have the authority to sell PersonX's memoirs..  sad.  to buy the book.  to sell the book.  violent. 171,isFilledBy book. needed find a publisher. has sub event find out more about the book. Effected gets arrested. Caused PersonX buys the book from Amazon.. want to PersonX buys the book from Amazon.. becuase PersonX buys the book from Amazon.. want to PersonX buys the book.. It can be becuase PersonX does not have the authority to sell PersonX's memoirs.. Reacted sad. wanted to buy the book. wanted to sell the book. consists of  violent. 171,Serial killer Robert Pickton selling memoir on Amazon. isFilledBy book. needed find a publisher. has sub event find out more about the book. Effected gets arrested. Caused PersonX buys the book from Amazon.. want to PersonX buys the book from Amazon.. becuase PersonX buys the book from Amazon.. want to PersonX buys the book.. It can be becuase PersonX does not have the authority to sell PersonX's memoirs.. Reacted sad. wanted to buy the book. wanted to sell the book. consists of  violent. 171,-0.5574,The sentiment score is negative
385694953,2016-02-22T03:00:00Z,eng,0.788235307,http://www.montrealgazette.com/news/province+hopes+stop+sale+serial+killer+robert+pickton+book/11734598/story.html,"Serial killer Robert Pickton's new book: Please don't read it, say victim's families",eng-1949706,montrealgazette.com,Crossed-PA,"Serial killer Robert Pickton's new book: Please don't read it, say victim's families",isFilledBy. It can be becuase. want to. want to. has sub event. Effected. Caused. needed. Effected. becuase. Reacted. consists of . wanted. wanted. 174, bookshelf.  PersonX is a murderer and the book is about PersonX..  PersonX reads the book..  PersonX reads the book..  read the book.  read the book.  read the book.  read the book.  read the book.  read the book.  sad.  sadistic.  to get rid of the book.  to get rid of the book. 174,isFilledBy bookshelf. It can be becuase PersonX is a murderer and the book is about PersonX.. want to PersonX reads the book.. want to PersonX reads the book.. has sub event read the book. Effected read the book. Caused read the book. needed read the book. Effected read the book. becuase read the book. Reacted sad. consists of  sadistic. wanted to get rid of the book. wanted to get rid of the book. 174,"Serial killer Robert Pickton's new book: Please don't read it, say victim's families. isFilledBy bookshelf. It can be becuase PersonX is a murderer and the book is about PersonX.. want to PersonX reads the book.. want to PersonX reads the book.. has sub event read the book. Effected read the book. Caused read the book. needed read the book. Effected read the book. becuase read the book. Reacted sad. consists of  sadistic. wanted to get rid of the book. wanted to get rid of the book. 174",-0.4588,The sentiment score is negative
437183621,2016-05-12T05:34:00Z,eng,0.823529422,http://www.salon.com/2016/05/12/malaysia_2_more_pieces_almost_certainly_from_flight_370_2/,Malaysia: 2 more pieces 'almost certainly' from Flight 370,eng-2150882,salon.com,Crossed-PA,Malaysia: 2 more pieces 'almost certainly' from Flight 370,has sub event. isFilledBy. want to. Reacted. consists of . Caused. want to. wanted. wanted. needed. It can be becuase. 390, find out what happened to the plane.  plane.  plane.  sad.  suspicious.  the plane is still in the air.  they find out what happened to the plane.  to find more pieces.  to find more pieces.  to find the pieces. Malaysia is not allowed to have any more pieces.. 390,has sub event find out what happened to the plane. isFilledBy plane. want to plane. Reacted sad. consists of  suspicious. Caused the plane is still in the air. want to they find out what happened to the plane. wanted to find more pieces. wanted to find more pieces. needed to find the pieces. It can be becuaseMalaysia is not allowed to have any more pieces.. 390,Malaysia: 2 more pieces 'almost certainly' from Flight 370. has sub event find out what happened to the plane. isFilledBy plane. want to plane. Reacted sad. consists of  suspicious. Caused the plane is still in the air. want to they find out what happened to the plane. wanted to find more pieces. wanted to find more pieces. needed to find the pieces. It can be becuaseMalaysia is not allowed to have any more pieces.. 390,0.3336,The sentiment score is positive
461431064,2016-06-22T06:49:00Z,eng,0.835294127,http://www.newspostleader.co.uk/news/johnson-begins-final-push-to-win-backing-for-brexit-1-7976000,Johnson begins final push to win backing for Brexit,eng-2247948,newspostleader.co.uk,Crossed-PA,Johnson begins final push to win backing for Brexit,isFilledBy. consists of . has sub event. Effected. want to. becuase. Reacted. It can be becuase. want to. Caused. needed. wanted. wanted. Intended. 224, campaign.  confident.  get a lot of people to vote for them.  gets a lot of support.  he gets a lot of support.  he wants to be in charge of the country.  hopeful.  Johnson is not in charge of the campaign..  PersonX gets a job in the UK..  they want to be in charge of their own country.  to make a speech.  to vote for him.  to win the vote.  to win the vote. 224,isFilledBy campaign. consists of  confident. has sub event get a lot of people to vote for them. Effected gets a lot of support. want to he gets a lot of support. becuase he wants to be in charge of the country. Reacted hopeful. It can be becuase Johnson is not in charge of the campaign.. want to PersonX gets a job in the UK.. Caused they want to be in charge of their own country. needed to make a speech. wanted to vote for him. wanted to win the vote. Intended to win the vote. 224,Johnson begins final push to win backing for Brexit. isFilledBy campaign. consists of  confident. has sub event get a lot of people to vote for them. Effected gets a lot of support. want to he gets a lot of support. becuase he wants to be in charge of the country. Reacted hopeful. It can be becuase Johnson is not in charge of the campaign.. want to PersonX gets a job in the UK.. Caused they want to be in charge of their own country. needed to make a speech. wanted to vote for him. wanted to win the vote. Intended to win the vote. 224,0.5994,The sentiment score is positive
