id,Time,language,similarity-score,url,title,fid_x,publisher,class,heads,relation,tails,inference,allinferences,heads-senti,senti-str-headline
358054112,2016-01-11T22:03:00Z,eng,0.827450991,http://mdjonline.com/bookmark/27039347,Spain: Landmark fraud trial starts for Princess Cristina,eng-1835911,mdjonline.com,Crossed-PA,Spain: Landmark fraud trial starts for Princess Cristina,consists of . has sub event. Effected. Reacted. isFilledBy. It can be becuase. want to. want to. becuase. Caused. needed. wanted. wanted. 209, criminal.  get arrested.  gets arrested.  guilty.  Spain.  Spain is not a democracy..  Spain's royal family.  Spain's royal family is accused of fraud.  Spain's royal family is accused of fraud.  Spain's royal family is accused of fraud..  to be accused of fraud.  to plead guilty.  to win the case. 209,consists of  criminal. has sub event get arrested. Effected gets arrested. Reacted guilty. isFilledBy Spain. It can be becuase Spain is not a democracy.. want to Spain's royal family. want to Spain's royal family is accused of fraud. becuase Spain's royal family is accused of fraud. Caused Spain's royal family is accused of fraud.. needed to be accused of fraud. wanted to plead guilty. wanted to win the case. 209,Spain: Landmark fraud trial starts for Princess Cristina. consists of  criminal. has sub event get arrested. Effected gets arrested. Reacted guilty. isFilledBy Spain. It can be becuase Spain is not a democracy.. want to Spain's royal family. want to Spain's royal family is accused of fraud. becuase Spain's royal family is accused of fraud. Caused Spain's royal family is accused of fraud.. needed to be accused of fraud. wanted to plead guilty. wanted to win the case. 209,-0.5423,The sentiment score is negative
389537628,2016-02-27T03:02:00Z,eng,0.823529422,http://www.maderatribune.com/sports/soccers-world-body-elects-gianni-infantino-president,Soccer's world body elects Gianni Infantino as president,eng-1949637,maderatribune.com,Crossed-PA,Soccer's world body elects Gianni Infantino as president,has sub event. Effected. Reacted. consists of . want to. want to. Caused. isFilledBy. becuase. It can be becuase. needed. Intended. wanted. wanted. 443, get elected as president.  gets elected.  happy.  responsible.  soccer.  soccer.  soccer.  soccer.  soccer.  soccer's world body elected a new president..  to be a member of the soccer world body.  to be in charge.  to be in charge.  to lead the sport. 443,has sub event get elected as president. Effected gets elected. Reacted happy. consists of  responsible. want to soccer. want to soccer. Caused soccer. isFilledBy soccer. becuase soccer. It can be becuase soccer's world body elected a new president.. needed to be a member of the soccer world body. Intended to be in charge. wanted to be in charge. wanted to lead the sport. 443,Soccer's world body elects Gianni Infantino as president. has sub event get elected as president. Effected gets elected. Reacted happy. consists of  responsible. want to soccer. want to soccer. Caused soccer. isFilledBy soccer. becuase soccer. It can be becuase soccer's world body elected a new president.. needed to be a member of the soccer world body. Intended to be in charge. wanted to be in charge. wanted to lead the sport. 443,0,The sentiment score is neutral
383882733,2016-02-19T00:27:00Z,eng,0.764705896,http://www.thenorthernecho.co.uk/uk_national_sport/14287776.Sepp_Blatter__I_m_innocent_and_this_issue_is_an_accounting_case/,Sepp Blatter: I'm innocent and this issue is an accounting case,eng-1947748,thenorthernecho.co.uk,Crossed-PA,Sepp Blatter: I'm innocent and this issue is an accounting case,consists of . Reacted. isFilledBy. want to. becuase. Caused. It can be becuase. has sub event. want to. wanted. 643, guilty.  guilty.  Sepp Blatter.  Sepp Blatter is arrested by the police.  Sepp Blatter is innocent.  Sepp Blatter is innocent.  Sepp Blatter is innocent..  Sepp Blatter is innocent..  Sepp Blatter wins the case.  to win the case. 643,consists of  guilty. Reacted guilty. isFilledBy Sepp Blatter. want to Sepp Blatter is arrested by the police. becuase Sepp Blatter is innocent. Caused Sepp Blatter is innocent. It can be becuase Sepp Blatter is innocent.. has sub event Sepp Blatter is innocent.. want to Sepp Blatter wins the case. wanted to win the case. 643,Sepp Blatter: I'm innocent and this issue is an accounting case. consists of  guilty. Reacted guilty. isFilledBy Sepp Blatter. want to Sepp Blatter is arrested by the police. becuase Sepp Blatter is innocent. Caused Sepp Blatter is innocent. It can be becuase Sepp Blatter is innocent.. has sub event Sepp Blatter is innocent.. want to Sepp Blatter wins the case. wanted to win the case. 643,0.34,The sentiment score is positive
427809127,2016-04-28T00:03:00Z,eng,0.819607854,http://www.lfpress.com/2016/04/27/republican-cruz-names-fiorina-as-vice-presidential-running-mate,Republican Cruz names Fiorina as running mate,eng-2106203,lfpress.com,Crossed-PA,Republican Cruz names Fiorina as running mate,isFilledBy. Effected. Reacted. consists of . It can be becuase. want to. want to. becuase. Caused. needed. wanted. wanted. 4, a car.  gets booed.  happy.  hopeful.  PersonX does not have the authority to name a running mate..  PersonX gets a job as a campaign manager..  PersonX is elected to the position..  PersonX is not allowed to run with PersonX..  PersonX is not qualified to be a running mate..  to make a decision.  to thank him for it.  to win the election. 4,isFilledBy a car. Effected gets booed. Reacted happy. consists of  hopeful. It can be becuase PersonX does not have the authority to name a running mate.. want to PersonX gets a job as a campaign manager.. want to PersonX is elected to the position.. becuase PersonX is not allowed to run with PersonX.. Caused PersonX is not qualified to be a running mate.. needed to make a decision. wanted to thank him for it. wanted to win the election. 4,Republican Cruz names Fiorina as running mate. isFilledBy a car. Effected gets booed. Reacted happy. consists of  hopeful. It can be becuase PersonX does not have the authority to name a running mate.. want to PersonX gets a job as a campaign manager.. want to PersonX is elected to the position.. becuase PersonX is not allowed to run with PersonX.. Caused PersonX is not qualified to be a running mate.. needed to make a decision. wanted to thank him for it. wanted to win the election. 4,0,The sentiment score is neutral
444974106,2016-05-24T21:14:00Z,eng,0.843137264,http://www.commondreams.org/news/2016/05/24/fighting-every-last-delegate-sanders-requests-kentucky-primary-recanvass,"'Fighting For Every Last Delegate,' Sanders Requests Kentucky Primary Recanvass",eng-2182993,commondreams.org,Crossed-PA,"'Fighting For Every Last Delegate,' Sanders Requests Kentucky Primary Recanvass",Effected. has sub event. consists of . Reacted. needed. wanted. wanted. Intended. becuase. Caused. It can be becuase. isFilledBy. want to. want to. 351, get a new delegate.  get re-vassed.  hard-working.  like a winner.  to be in the race.  to vote for him.  to win the election.  to win the election. 'Fighting for every last Delegate'. 'Fighting for every last Delegate'. 'Fighting For Every Last Delegate'. 'Fighting for Every Last Delegate'. 'Fighting for Every Last Delegate'. 'Fighting For Every Last Delegate'. 351,Effected get a new delegate. has sub event get re-vassed. consists of  hard-working. Reacted like a winner. needed to be in the race. wanted to vote for him. wanted to win the election. Intended to win the election. becuase'Fighting for every last Delegate'. Caused'Fighting for every last Delegate'. It can be becuase'Fighting For Every Last Delegate'. isFilledBy'Fighting for Every Last Delegate'. want to'Fighting for Every Last Delegate'. want to'Fighting For Every Last Delegate'. 351,"'Fighting For Every Last Delegate,' Sanders Requests Kentucky Primary Recanvass. Effected get a new delegate. has sub event get re-vassed. consists of  hard-working. Reacted like a winner. needed to be in the race. wanted to vote for him. wanted to win the election. Intended to win the election. becuase'Fighting for every last Delegate'. Caused'Fighting for every last Delegate'. It can be becuase'Fighting For Every Last Delegate'. isFilledBy'Fighting for Every Last Delegate'. want to'Fighting for Every Last Delegate'. want to'Fighting For Every Last Delegate'. 351",-0.3612,The sentiment score is negative
442228313,2016-05-20T03:43:00Z,eng,0.815686285,http://omanobserver.om/federer-withdraws-from-french-open/,Federer withdraws from French Open,eng-2171325,omanobserver.om,Crossed-PA,Federer withdraws from French Open,It can be becuase. becuase. Caused. has sub event. Effected. want to. want to. consists of . Reacted. isFilledBy. needed. wanted. wanted. 272, Federer is the best player in the world..  Federer wins the French Open.  Federer wins the French Open..  lose the match.  loses the match.  PersonX wins the match.  PersonX wins the match..  sad.  sad.  tennis racket.  to be injured.  to play another tournament.  to play another tournament. 272,It can be becuase Federer is the best player in the world.. becuase Federer wins the French Open. Caused Federer wins the French Open.. has sub event lose the match. Effected loses the match. want to PersonX wins the match. want to PersonX wins the match.. consists of  sad. Reacted sad. isFilledBy tennis racket. needed to be injured. wanted to play another tournament. wanted to play another tournament. 272,Federer withdraws from French Open. It can be becuase Federer is the best player in the world.. becuase Federer wins the French Open. Caused Federer wins the French Open.. has sub event lose the match. Effected loses the match. want to PersonX wins the match. want to PersonX wins the match.. consists of  sad. Reacted sad. isFilledBy tennis racket. needed to be injured. wanted to play another tournament. wanted to play another tournament. 272,0,The sentiment score is neutral
441970175,2016-05-19T17:41:00Z,eng,0.764705896,http://www.mid-day.com/articles/injured-roger-federer-withdraws-from-french-open-to-end-65-grand-slam-record-run/17251193,Injured Roger Federer withdraws from French Open to end 65-Grand Slam record run - Sports,eng-2171325,mid-day.com,Crossed-PA,Injured Roger Federer withdraws from French Open to end 65-Grand Slam record run - Sports,needed. Caused. Intended. becuase. It can be becuase. consists of . want to. want to. has sub event. Effected. Effected. Reacted. isFilledBy. wanted. wanted. 447, get injured.  in pain.  in pain.  in pain.  injured.  injured.  injured.  injured.  lose the match.  lose the match.  loses the match.  sad.  tennis.  to get back on the court.  to go home and rest. 447,needed get injured. Caused in pain. Intended in pain. becuase in pain. It can be becuase injured. consists of  injured. want to injured. want to injured. has sub event lose the match. Effected lose the match. Effected loses the match. Reacted sad. isFilledBy tennis. wanted to get back on the court. wanted to go home and rest. 447,Injured Roger Federer withdraws from French Open to end 65-Grand Slam record run - Sports. needed get injured. Caused in pain. Intended in pain. becuase in pain. It can be becuase injured. consists of  injured. want to injured. want to injured. has sub event lose the match. Effected lose the match. Effected loses the match. Reacted sad. isFilledBy tennis. wanted to get back on the court. wanted to go home and rest. 447,-0.6486,The sentiment score is negative
441114260,2016-05-18T14:37:00Z,eng,0.768627465,http://www.alternet.org/election-2016/its-not-over-sanders-wins-oregon-primary-clinton-barely-clenches-victory-kentucky,"It's Not Over: Sanders Wins Oregon Primary, Clinton Barely Ekes Out Victory in Kentucky",eng-2159905,alternet.org,Crossed-PA,"It's Not Over: Sanders Wins Oregon Primary, Clinton Barely Ekes Out Victory in Kentucky",Reacted. consists of . isFilledBy. needed. want to. want to. becuase. Intended. It can be becuase. wanted. wanted. Effected. Caused. has sub event. Effected. 225, defeated.  hopeful.  it's not over.  it's not over.  it's not over.  it's not over.  it's not over.  it's not over.  It's not over yet..  to win the election.  to win the election.  win or lose.  win or lose.  win the election.  wins the election. 225,Reacted defeated. consists of  hopeful. isFilledBy it's not over. needed it's not over. want to it's not over. want to it's not over. becuase it's not over. Intended it's not over. It can be becuase It's not over yet.. wanted to win the election. wanted to win the election. Effected win or lose. Caused win or lose. has sub event win the election. Effected wins the election. 225,"It's Not Over: Sanders Wins Oregon Primary, Clinton Barely Ekes Out Victory in Kentucky. Reacted defeated. consists of  hopeful. isFilledBy it's not over. needed it's not over. want to it's not over. want to it's not over. becuase it's not over. Intended it's not over. It can be becuase It's not over yet.. wanted to win the election. wanted to win the election. Effected win or lose. Caused win or lose. has sub event win the election. Effected wins the election. 225",-0.4585,The sentiment score is negative
431568823,2016-05-03T14:59:00Z,eng,0.843137264,http://www.breitbart.com/video/2016/05/03/former-notre-dame-football-coach-lou-holtz-wholeheartedly-endorses-trump/,Former Notre Dame Football Coach Lou Holtz 'Wholeheartedly' Endorses Trump - Breitbart,eng-2125552,breitbart.com,Crossed-PA,Former Notre Dame Football Coach Lou Holtz 'Wholeheartedly' Endorses Trump - Breitbart,want to. want to. isFilledBy. becuase. has sub event. Effected. consists of . Reacted. Caused. It can be becuase. wanted. wanted. needed. Intended. 316, former coach of Notre Dame.  former coach of the team.  former president of the United States.  former president of the United States.  get a new job.  gets yelled at.  proud.  proud.  proud to be a part of the team.  They don't like him..  to be a part of the team.  to be a part of the team.  to be in a position of power.  to be supportive of the president. 316,want to former coach of Notre Dame. want to former coach of the team. isFilledBy former president of the United States. becuase former president of the United States. has sub event get a new job. Effected gets yelled at. consists of  proud. Reacted proud. Caused proud to be a part of the team. It can be becuase They don't like him.. wanted to be a part of the team. wanted to be a part of the team. needed to be in a position of power. Intended to be supportive of the president. 316,Former Notre Dame Football Coach Lou Holtz 'Wholeheartedly' Endorses Trump - Breitbart. want to former coach of Notre Dame. want to former coach of the team. isFilledBy former president of the United States. becuase former president of the United States. has sub event get a new job. Effected gets yelled at. consists of  proud. Reacted proud. Caused proud to be a part of the team. It can be becuase They don't like him.. wanted to be a part of the team. wanted to be a part of the team. needed to be in a position of power. Intended to be supportive of the president. 316,0.34,The sentiment score is positive
481658512,2016-07-30T08:46:00Z,eng,0.823529422,http://sports.inquirer.net/217678/disheartened-mcilroy-seeks-answers-after-early-pga-exit,Disheartened McIlroy seeks answers after early PGA exit - Inquirer Sports,eng-2332256,sports.inquirer.net,Crossed-PA,Disheartened McIlroy seeks answers after early PGA exit - Inquirer Sports,want to. want to. It can be becuase. consists of . has sub event. Effected. isFilledBy. Reacted. wanted. wanted. Caused. 240, Disappointed.  Disappointed.  Disappointed.  frustrated.  lose confidence.  loses confidence.  news.  sad.  to find out what happened.  to find out what happened.  upset. 240,want to Disappointed. want to Disappointed. It can be becuase Disappointed. consists of  frustrated. has sub event lose confidence. Effected loses confidence. isFilledBy news. Reacted sad. wanted to find out what happened. wanted to find out what happened. Caused upset. 240,Disheartened McIlroy seeks answers after early PGA exit - Inquirer Sports. want to Disappointed. want to Disappointed. It can be becuase Disappointed. consists of  frustrated. has sub event lose confidence. Effected loses confidence. isFilledBy news. Reacted sad. wanted to find out what happened. wanted to find out what happened. Caused upset. 240,-0.4939,The sentiment score is negative
