Country1,Country2,distance,distance2,Label2,test
Albania,Albania,0,0,sure-not-crossing,AlbaniaAlbania
Algeria,Algeria,0,0,sure-not-crossing,AlgeriaAlgeria
Angola,Angola,0,0,sure-not-crossing,AngolaAngola
Argentina,Argentina,0,0,sure-not-crossing,ArgentinaArgentina
Armenia,Armenia,0,0,sure-not-crossing,ArmeniaArmenia
Australia,Australia,0,0,sure-not-crossing,AustraliaAustralia
Austria,Austria,0,0,sure-not-crossing,AustriaAustria
Azerbaijan,Azerbaijan,0,0,sure-not-crossing,AzerbaijanAzerbaijan
Bangladesh,Bangladesh,0,0,sure-not-crossing,BangladeshBangladesh
Belarus,Belarus,0,0,sure-not-crossing,BelarusBelarus
Belgium,Belgium,0,0,sure-not-crossing,BelgiumBelgium
Bolivia,Bolivia,0,0,sure-not-crossing,BoliviaBolivia
Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,sure-not-crossing,Bosnia and HerzegovinaBosnia and Herzegovina
Brazil,Brazil,0,0,sure-not-crossing,BrazilBrazil
Bulgaria,Bulgaria,0,0,sure-not-crossing,BulgariaBulgaria
Burkina Faso,Burkina Faso,0,0,sure-not-crossing,Burkina FasoBurkina Faso
Canada,Canada,0,0,sure-not-crossing,CanadaCanada
Cape Verde,Cape Verde,0,0,sure-not-crossing,Cape VerdeCape Verde
Caribbean Netherlands,Caribbean Netherlands,0,0,sure-not-crossing,Caribbean NetherlandsCaribbean Netherlands
Caribbean Netherlands,Netherlands,0,0,sure-not-crossing,Caribbean NetherlandsNetherlands
Chile,Chile,0,0,sure-not-crossing,ChileChile
China,China,0,0,sure-not-crossing,ChinaChina
Colombia,Colombia,0,0,sure-not-crossing,ColombiaColombia
Costa Rica,Costa Rica,0,0,sure-not-crossing,Costa RicaCosta Rica
Croatia,Croatia,0,0,sure-not-crossing,CroatiaCroatia
Czech Republic,Czech Republic,0,0,sure-not-crossing,Czech RepublicCzech Republic
Denmark,Denmark,0,0,sure-not-crossing,DenmarkDenmark
Dominican Republic,Dominican Republic,0,0,sure-not-crossing,Dominican RepublicDominican Republic
Ecuador,Ecuador,0,0,sure-not-crossing,EcuadorEcuador
Egypt,Egypt,0,0,sure-not-crossing,EgyptEgypt
El Salvador,El Salvador,0,0,sure-not-crossing,El SalvadorEl Salvador
Estonia,Estonia,0,0,sure-not-crossing,EstoniaEstonia
Ethiopia,Ethiopia,0,0,sure-not-crossing,EthiopiaEthiopia
Finland,Finland,0,0,sure-not-crossing,FinlandFinland
France,France,0,0,sure-not-crossing,FranceFrance
Georgia,Georgia,0,0,sure-not-crossing,GeorgiaGeorgia
Germany,Germany,0,0,sure-not-crossing,GermanyGermany
Ghana,Ghana,0,0,sure-not-crossing,GhanaGhana
Greece,Greece,0,0,sure-not-crossing,GreeceGreece
Guatemala,Guatemala,0,0,sure-not-crossing,GuatemalaGuatemala
Honduras,Honduras,0,0,sure-not-crossing,HondurasHonduras
Hong Kong,Hong Kong,0,0,sure-not-crossing,Hong KongHong Kong
Hungary,Hungary,0,0,sure-not-crossing,HungaryHungary
Iceland,Iceland,0,0,sure-not-crossing,IcelandIceland
India,India,0,0,sure-not-crossing,IndiaIndia
Indonesia,Indonesia,0,0,sure-not-crossing,IndonesiaIndonesia
Iran,Iran,0,0,sure-not-crossing,IranIran
Iraq,Iraq,0,0,sure-not-crossing,IraqIraq
Ireland,Ireland,0,0,sure-not-crossing,IrelandIreland
Israel,Israel,0,0,sure-not-crossing,IsraelIsrael
Italy,Italy,0,0,sure-not-crossing,ItalyItaly
Jamaica,Jamaica,0,0,sure-not-crossing,JamaicaJamaica
Japan,Japan,0,0,sure-not-crossing,JapanJapan
Jordan,Jordan,0,0,sure-not-crossing,JordanJordan
Kazakhstan,Kazakhstan,0,0,sure-not-crossing,KazakhstanKazakhstan
Kenya,Kenya,0,0,sure-not-crossing,KenyaKenya
Korea,Korea,0,0,sure-not-crossing,KoreaKorea
Korea,South Korea,0,0,sure-not-crossing,KoreaSouth Korea
Kuwait,Kuwait,0,0,sure-not-crossing,KuwaitKuwait
Latvia,Latvia,0,0,sure-not-crossing,LatviaLatvia
Lebanon,Lebanon,0,0,sure-not-crossing,LebanonLebanon
Libya,Libya,0,0,sure-not-crossing,LibyaLibya
Lithuania,Lithuania,0,0,sure-not-crossing,LithuaniaLithuania
Luxembourg,Luxembourg,0,0,sure-not-crossing,LuxembourgLuxembourg
Malawi,Malawi,0,0,sure-not-crossing,MalawiMalawi
Malaysia,Malaysia,0,0,sure-not-crossing,MalaysiaMalaysia
Malta,Malta,0,0,sure-not-crossing,MaltaMalta
Mexico,Mexico,0,0,sure-not-crossing,MexicoMexico
Moldova,Moldova,0,0,sure-not-crossing,MoldovaMoldova
Montenegro,Montenegro,0,0,sure-not-crossing,MontenegroMontenegro
Morocco,Morocco,0,0,sure-not-crossing,MoroccoMorocco
Mozambique,Mozambique,0,0,sure-not-crossing,MozambiqueMozambique
Namibia,Namibia,0,0,sure-not-crossing,NamibiaNamibia
Nepal,Nepal,0,0,sure-not-crossing,NepalNepal
Netherlands,Caribbean Netherlands,0,0,sure-not-crossing,NetherlandsCaribbean Netherlands
Netherlands,Netherlands,0,0,sure-not-crossing,NetherlandsNetherlands
New Zealand,New Zealand,0,0,sure-not-crossing,New ZealandNew Zealand
Niger,Niger,0,0,sure-not-crossing,NigerNiger
Niger,Nigeria,0,0,sure-not-crossing,NigerNigeria
Nigeria,Niger,0,0,sure-not-crossing,NigeriaNiger
Nigeria,Nigeria,0,0,sure-not-crossing,NigeriaNigeria
