Countries,Country,Clusters,PD,Ind,Mas,Unc,LTO,Ind2,WKT
Albania,,C15,90,20,80,70,61,15,POINT (41.1533 20.1683)
Algeria,,C20,80,35,35,70,26,32,POINT (20.0339 1.6596)
Angola,Angola,C10,83,18,20,60,15,83,POINT (17.8739 11.2027)
Argentina,Argentina,C14,49,46,56,86,20,62,POINT (63.6167 38.4161)
Armenia,,C16,85,22,50,88,61,25,POINT (40.0691 45.0382)
Australia,Australia,C4,38,90,61,51,21,71,POINT (133.775136 -25.274398)
Austria,Austria,C5,11,55,79,70,60,63,POINT (14.550072 47.516231)
Azerbaijan,Azerbaijan,C16,85,22,50,88,61,22,POINT (47.576927 40.143105)
Bangladesh,Bangladesh,C20,80,20,55,60,47,20,POINT (90.356331 23.684994)
Belarus,,C16,95,25,20,95,81,15,POINT (53.7098 27.9534)
Belgium,,C14,65,75,54,94,82,57,POINT (50.5039 4.4699)
Bolivia,Bolivia,C13,78,10,42,87,25,46,POINT (63.5887 16.2902)
Bosnia and Herzegovina,,C16,90,22,48,87,70,44,POINT (43.9159 17.6791)
Brazil,Brazil,C14,69,38,49,76,44,59,POINT (-51.92528 -14.235004)
Bulgaria,,C16,70,30,40,85,69,16,POINT (42.7339 25.4858)
Burkina Faso,,C20,70,15,50,55,27,18,POINT (12.2383 1.15616)
Canada,Canada,C4,39,80,52,48,36,68,POINT (-107.755868 56.2545608)
Cape Verde,,C10,75,20,15,40,12,83,POINT (16.5388 23.0418)
Caribbean Netherlands,,C8,38,80,14,53,67,68,POINT (52.1326 5.2913)
Chile,Chile,C13,63,23,28,86,31,68,POINT (71.543 35.6751)
China,,C18,80,20,66,30,87,24,POINT (35.8617 104.1954)
Colombia,,C12,67,13,64,80,13,83,POINT (4.5709 74.2973)
Costa Rica,,C10,35,15,21,86,0,0,POINT (9.7489 83.7534)
Croatia,,C16,73,33,40,80,58,33,POINT (45.1000 15.2000)
Czech Republic,,C5,57,58,57,74,70,29,POINT (49.8175 15.4730)
Denmark,,C8,18,74,16,23,35,70,POINT (56.32639 9.5018)
Dominican Republic,Dominican Republic,C20,65,30,65,45,13,54,POINT (70.1627 18.7357)
Ecuador,,C20,78,8,63,67,0,0,POINT (1.8312 78.1834)
Egypt,Egypt,C19,70,25,45,80,7,4,POINT (30.802498 26.820553)
El Salvador,,C13,66,19,40,94,20,89,POINT (13.7942 88.8965)
Estonia,,C6,40,60,30,60,82,16,POINT (58.5953 25.0136)
Ethiopia,,C20,70,20,65,55,0,46,POINT (9.1450 40.4897)
Finland,,C8,33,63,26,59,38,57,POINT (61.9241 25.7482)
France,France,C14,68,71,43,86,63,48,POINT (2.2137 46.2276)
Georgia,,C14,65,41,55,85,38,32,POINT (32.1656 82.9001)
Germany,Germany,C5,35,67,66,65,83,40,POINT (10.451526 51.165691)
Ghana,Ghana,C10,80,15,40,65,4,72,POINT (1.0232 7.9465)
Greece,,C14,60,35,57,100,45,50,POINT (39.0742 21.8243)
Guatemala,,C19,95,6,37,98,0,0,POINT (15.7835 90.2308)
Honduras,,C20,80,20,40,50,0,0,POINT (15.2000 86.2419)
Hong Kong,Hong Kong,C18,68,25,57,29,61,17,POINT (114.109497 22.396428)
Hungary,,C5,46,80,88,82,58,31,POINT (47.1625 19.5033)
Iceland,,C8,30,60,10,50,28,67,POINT (64.9631 19.0208)
India,India,C18,77,48,56,40,51,26,POINT (78.96288 20.593684)
Indonesia,,C18,78,14,46,48,62,38,POINT (0.7893 113.9213)
Iran,Iran,C20,58,41,43,59,14,40,POINT (53.688046 32.427908)
Iraq,,C15,95,30,70,85,25,17,POINT (33.2232 43.6793)
Ireland,Ireland,C4,28,70,68,35,24,65,POINT (-8.24389 53.41291)
Israel,Israel,C9,13,54,47,81,38,0,POINT (34.851612 31.046051)
Italy,,C5,50,76,70,75,61,30,POINT (41.8719 12.5674)
Jamaica,,C3,45,39,68,13,0,0,POINT (18.1096 77.2975)
Japan,,C1,54,46,95,92,88,42,POINT (36.2048 138.2529)
Jordan,,C20,70,30,45,68,16,43,POINT (30.5852 36.2384)
Kazakhstan,,C16,88,20,50,88,85,22,POINT (48.0196 66.9237)
Kenya,Kenya,C20,70,25,60,50,0,0,POINT (37.906193 -0.023559)
Korea,,C16,60,18,39,85,100,29,POINT (35.9078 127.7669)
Kuwait,,C19,90,25,40,80,0,0,POINT (29.3117 47.4818)
Latvia,Latvia,C6,44,70,9,63,69,13,POINT (24.6032 56.8796)
Lebanon,,C20,75,40,65,50,14,25,POINT (33.8547 35.8623)
Libya,,C20,80,38,52,68,23,34,POINT (26.3351 17.2283)
