,Country1,Country2,cont,distance2,Label2
0,Israel,Israel,IsraelIsrael,0,sure-not-crossing
163,Cuba,Cuba,CubaCuba,0,sure-not-crossing
326,Tajikistan,Tajikistan,TajikistanTajikistan,0,sure-not-crossing
489,Turkmenistan,Turkmenistan,TurkmenistanTurkmenistan,0,sure-not-crossing
652,Uzbekistan,Uzbekistan,UzbekistanUzbekistan,0,sure-not-crossing
815,Cambodia,Cambodia,CambodiaCambodia,0,sure-not-crossing
978,Equatorial Guinea,Equatorial Guinea,Equatorial GuineaEquatorial Guinea,0,sure-not-crossing
1141,Guatemala,Guatemala,GuatemalaGuatemala,0,sure-not-crossing
1304,Honduras,Honduras,HondurasHonduras,0,sure-not-crossing
1467,Laos,Laos,LaosLaos,0,sure-not-crossing
1630,Myanmar,Myanmar,MyanmarMyanmar,0,sure-not-crossing
1793,Nicaragua,Nicaragua,NicaraguaNicaragua,0,sure-not-crossing
1956,Belarus,Belarus,BelarusBelarus,0,sure-not-crossing
2119,Russia,Russia,RussiaRussia,0,sure-not-crossing
2282,Turkey,Turkey,TurkeyTurkey,0,sure-not-crossing
2445,Algeria,Algeria,AlgeriaAlgeria,0,sure-not-crossing
2608,Jamaica,Jamaica,JamaicaJamaica,0,sure-not-crossing
2771,Jordan,Jordan,JordanJordan,0,sure-not-crossing
2934,Lebanon,Lebanon,LebanonLebanon,0,sure-not-crossing
3097,Moldova,Moldova,MoldovaMoldova,0,sure-not-crossing
3260,Morocco,Morocco,MoroccoMorocco,0,sure-not-crossing
3423,Tunisia,Tunisia,TunisiaTunisia,0,sure-not-crossing
3586,Ukraine,Ukraine,UkraineUkraine,0,sure-not-crossing
3749,Ghana,Ghana,GhanaGhana,0,sure-not-crossing
3912,Namibia,Namibia,NamibiaNamibia,0,sure-not-crossing
4075,Senegal,Senegal,SenegalSenegal,0,sure-not-crossing
4238,The Gambia,The Gambia,The GambiaThe Gambia,0,sure-not-crossing
4401,Botswana,Botswana,BotswanaBotswana,0,sure-not-crossing
4564,El Salvador,El Salvador,El SalvadorEl Salvador,0,sure-not-crossing
4727,India,India,IndiaIndia,0,sure-not-crossing
4890,Kenya,Kenya,KenyaKenya,0,sure-not-crossing
5053,Rwanda,Rwanda,RwandaRwanda,0,sure-not-crossing
5216,South Africa,South Africa,South AfricaSouth Africa,0,sure-not-crossing
5379,Colombia,Colombia,ColombiaColombia,0,sure-not-crossing
5542,Dominican Republic,Dominican Republic,Dominican RepublicDominican Republic,0,sure-not-crossing
5705,Indonesia,Indonesia,IndonesiaIndonesia,0,sure-not-crossing
5868,Mexico,Mexico,MexicoMexico,0,sure-not-crossing
6031,Philippines,Philippines,PhilippinesPhilippines,0,sure-not-crossing
6194,Sri Lanka,Sri Lanka,Sri LankaSri Lanka,0,sure-not-crossing
6357,Albania,Albania,AlbaniaAlbania,0,sure-not-crossing
6520,Argentina,Argentina,ArgentinaArgentina,0,sure-not-crossing
6683,Brazil,Brazil,BrazilBrazil,0,sure-not-crossing
6846,Peru,Peru,PeruPeru,0,sure-not-crossing
7009,Republic of Macedonia,Republic of Macedonia,Republic of MacedoniaRepublic of Macedonia,0,sure-not-crossing
7172,Australia,Australia,AustraliaAustralia,0,sure-not-crossing
7335,Austria,Austria,AustriaAustria,0,sure-not-crossing
7498,Belgium,Belgium,BelgiumBelgium,0,sure-not-crossing
7661,Canada,Canada,CanadaCanada,0,sure-not-crossing
7824,Denmark,Denmark,DenmarkDenmark,0,sure-not-crossing
7987,Estonia,Estonia,EstoniaEstonia,0,sure-not-crossing
8150,Finland,Finland,FinlandFinland,0,sure-not-crossing
8313,France,France,FranceFrance,0,sure-not-crossing
8476,Germany,Germany,GermanyGermany,0,sure-not-crossing
8639,Hong Kong,Hong Kong,Hong KongHong Kong,0,sure-not-crossing
8802,Iceland,Iceland,IcelandIceland,0,sure-not-crossing
8965,Ireland,Ireland,IrelandIreland,0,sure-not-crossing
9128,Italy,Italy,ItalyItaly,0,sure-not-crossing
9291,Luxembourg,Luxembourg,LuxembourgLuxembourg,0,sure-not-crossing
9454,Malta,Malta,MaltaMalta,0,sure-not-crossing
9617,Netherlands,Netherlands,NetherlandsNetherlands,0,sure-not-crossing
9780,New Zealand,New Zealand,New ZealandNew Zealand,0,sure-not-crossing
9943,Norway,Norway,NorwayNorway,0,sure-not-crossing
10106,Portugal,Portugal,PortugalPortugal,0,sure-not-crossing
10269,Singapore,Singapore,SingaporeSingapore,0,sure-not-crossing
10432,Slovenia,Slovenia,SloveniaSlovenia,0,sure-not-crossing
10595,Spain,Spain,SpainSpain,0,sure-not-crossing
10758,Sweden,Sweden,SwedenSweden,0,sure-not-crossing
10921,Switzerland,Switzerland,SwitzerlandSwitzerland,0,sure-not-crossing
11084,Taiwan,Taiwan,TaiwanTaiwan,0,sure-not-crossing
11247,United Kingdom,United Kingdom,United KingdomUnited Kingdom,0,sure-not-crossing
11410,United States,United States,United StatesUnited States,0,sure-not-crossing
11573,Bolivia,Bolivia,BoliviaBolivia,0,sure-not-crossing
