Country,Countries,WKT,Clusters,safety,free,gov,soc,invest,enter,market,econ,living,health,educ,nat
Afghanistan,Afghanistan,POINT (33.9391 67.7100),C8,166,137,142,167,154,129,159,142,155,156,153,161
Albania,Albania,POINT (41.1533 20.1683),C19,70,78,70,146,77,80,59,105,82,77,54,56
Algeria,Algeria,POINT (20.0339 1.6596),C13,53,142,115,129,134,132,102,134,71,83,82,152
Angola,Angola,POINT (17.8739 11.2027),C8,114,130,141,145,167,157,148,158,144,152,158,121
Argentina,Argentina,POINT (63.6167 38.4161),C19,78,27,56,122,82,126,89,137,64,46,50,50
Armenia,Armenia,POINT (40.0691 45.0382),C4,63,74,67,74,49,51,79,88,73,62,58,91
Australia,Australia,POINT (133.775136 -25.274398),C2,18,16,10,19,12,23,30,32,19,19,11,21
Austria,Austria,POINT (14.550072 47.516231),C2,4,14,15,10,11,19,16,18,11,26,22,5
Azerbaijan,Azerbaijan,POINT (47.576927 40.143105),C9,89,148,110,68,50,39,78,83,68,57,73,136
Bahrain,Bahrain,POINT (26.0667 50.5577),C9,105,156,105,21,36,37,42,59,40,52,61,133
Bangladesh,Bangladesh,POINT (90.356331 23.684994),C5,142,117,135,57,139,106,120,102,118,111,123,149
Belarus,Belarus,POINT (53.7098 27.9534),C12,69,134,114,120,91,89,71,52,42,79,30,82
Belgium,Belgium,POINT (50.5039 4.4699),C2,31,18,17,79,23,21,15,29,21,24,18,55
Benin,Benin,POINT (9.3077 2.3158),C6,61,72,85,159,138,73,136,135,146,147,143,123
Bolivia,Bolivia,POINT (63.5887 16.2902),C20,86,83,130,151,110,150,111,121,101,108,94,34
Bosnia and Herzegovina,Bosnia and Herzegovina,POINT (43.9159 17.6791),C20,48,87,112,76,84,146,82,77,47,88,70,111
Botswana,Botswana,POINT (22.3285 24.6849),C17,76,58,43,103,72,79,101,50,111,122,100,132
Brazil,Brazil,POINT (-51.92528 -14.235004),C19,115,48,68,119,73,121,91,89,62,63,91,12
Bulgaria,Bulgaria,POINT (42.7339 25.4858),C4,55,63,57,112,55,55,55,39,49,68,45,84
Burkina Faso,Burkina Faso,POINT (12.2383 1.15616),C6,134,67,106,100,131,128,154,129,149,136,155,99
Burundi,Burundi,POINT (3.3731 29.9189),C8,156,157,150,148,148,104,157,160,164,135,144,124
Cambodia,Cambodia,POINT (12.5657 104.9910),C11,102,126,154,75,124,145,99,67,129,95,125,85
Cameroon,Cameroon,POINT (7.3697 12.3547),C8,158,128,148,118,142,137,138,125,131,157,131,101
Canada,Canada,POINT (-107.755868 56.2545608),C2,20,7,11,11,21,17,20,25,16,33,6,13
Central African Republic,Central African Republic,POINT (6.6111 20.9394),C8,154,139,156,161,160,163,167,148,167,166,164,107
Chad,Chad,POINT (15.4542 18.7322),C8,143,132,159,160,162,164,166,153,163,167,165,103
