Publishers,Count
dailymail.co.uk,157525
business-standard.com,79668
hosted.ap.org,68415
washingtonpost.com,56856
dw.com,55019
thehill.com,53440
timesofindia.indiatimes.com,49092
sputniknews.com,48840
theguardian.com,48656
msn.com,45185
bbc.com,44122
welt.de,43054
independent.co.uk,42968
dnaindia.com,42850
aa.com.tr,41512
indianexpress.com,41154
firstpost.com,41091
t-online.de,38038
foxnews.com,37972
stern.de,37961
nytimes.com,37014
europapress.es,36096
reuters.com,35667
yahoo.com,34566
news.yahoo.com,34252
mundo.sputniknews.com,32061
businessinsider.com,32021
straitstimes.com,31990
sify.com,31892
thehindu.com,31073
afp.com,30857
hindustantimes.com,29699
belfasttelegraph.co.uk,29248
urdupoint.com,28780
entornointeligente.com,28650
headlines.yahoo.co.jp,28543
latestly.com,28018
newindianexpress.com,27976
washingtonexaminer.com,27824
jpost.com,27696
infobae.com,27356
xinhuanet.com,27202
lefigaro.fr,27152
usatoday.com,26926
thesun.co.uk,26248
dailycaller.com,26154
irishtimes.com,25903
economictimes.indiatimes.com,25709
timesofisrael.com,25490
nampa.org,25261
mirror.co.uk,25215
sueddeutsche.de,24856
nationalpost.com,24519
dhnet.be,24139
channelnewsasia.com,24024
telegraph.co.uk,23900
breitbart.com,23773
france24.com,23768
ecodiario.eleconomista.es,23398
aninews.in,23091
lalibre.be,23080
edition.cnn.com,23012
express.co.uk,22856
augsburger-allgemeine.de,22842
thenews.com.pk,22813
rt.com,22784
news18.com,22559
n-tv.de,22407
aljazeera.com,22327
noticias.uol.com.br,22170
financialexpress.com,22138
nypost.com,21897
bloomberg.com,21739
cbsnews.com,21227
haaretz.com,20892
deutschlandfunk.de,20840
standard.co.uk,20585
onenewspage.com,20530
rawstory.com,20187
lavanguardia.com,20045
newsmax.com,19982
sbs.com.au,19811
sfgate.com,19751
zeenews.india.com,19739
handelsblatt.com,19681
independent.ie,19613
elmundo.es,19116
tagesspiegel.de,18999
nbcnews.com,18993
tribune.com.pk,18766
ibtimes.com,18557
eleconomista.es,18390
news.yahoo.co.jp,18356
upi.com,18314
globalnews.ca,18306
lepoint.fr,18093
haberler.com,18005
digitaljournal.com,18002
spiegel.de,17891
eluniversal.com.mx,17868
cbc.ca,17863
newsweek.com,17804
cnbc.com,17714
startribune.com,17664
devdiscourse.com,17534
oneindia.com,17506
mediaite.com,17455
lanacion.com.ar,17430
lemonde.fr,17265
faz.net,17250
indiatoday.in,17179
laprovence.com,17172
rfi.fr,17056
wmcactionnews5.com,16808
romandie.com,16774
democraticunderground.com,16743
latimes.com,16603
elcomercio.pe,16588
presstv.com,16503
abcnews.go.com,16477
nation.com.pk,16468
news.sina.com.cn,16441
mainichi.jp,16379
efe.com,16368
