name,view,country,pol,lang,url,stat,status
wimbledonguardian.co.uk,"London, England",United Kingdom,Conservative, ,https://en.wikipedia.org/wiki/The_Daily_Telegraph,,Success
thesundaytimes.co.uk,"The News Building, London 1 London Bridge Place, SE1 9GF",United Kingdom,Conservative, ,https://en.wikipedia.org/wiki/The_Times,,Success
epress.am,"Lower Thames StreetLondon, EC3United Kingdom",United Kingdom,"Conservative, Royalist , Right-wing , populist,  Eurosceptic", ,https://en.wikipedia.org/wiki/Daily_Express,,Success
freepresshouston.com, ,No,"Far-left, Liberal, Progressive", ,https://en.wikipedia.org/wiki/Free_Press_Houston,,Success
eldjoumhouria.dz,"6 rue Ben Senoussi Ahmida, Oran, Algeria",Algeria,No, ,https://en.wikipedia.org/wiki/El_Djoumhouria,,Success
noticiaspehuajo.com, ,Argentina,No, ,https://en.wikipedia.org/wiki/Pehuaj%C3%B3,,Success
caradvice.com.au,Sydney,Australia,No, ,https://en.wikipedia.org/wiki/CarsGuide,,Success
domain.com.au,"100 Harris Street, Pyrmont, Australia",Australia,No, ,https://en.wikipedia.org/wiki/Domain_Group,,Success
eesc.europa.eu,"Jacques Delors building, Brussels, Belgium",Belgium,No, ,https://en.wikipedia.org/wiki/European_Economic_and_Social_Committee,,Success
claudia.abril.com.br,"São Paulo, Brazil",Brazil,No, ,https://en.wikipedia.org/wiki/Grupo_Abril,,Success
universa.uol.com.br,"São Paulo, Brazil",Brazil,No, ,https://en.wikipedia.org/wiki/Universo_Online,,Success
terceirotempo.bol.uol.com.br,Brasil,Brazil,No, ,https://en.wikipedia.org/wiki/Brasil_Online,,Success
paraibaonline.com.br, ,Brazil,No, ,https://en.wikipedia.org/wiki/Para%C3%ADba,,Success
agoramt.com.br, ,Brazil,No, ,https://en.wikipedia.org/wiki/Rondon%C3%B3polis,,Success
ariquemesonline.com.br, ,Brazil,No, ,https://en.wikipedia.org/wiki/Ariquemes,,Success
thescore.com,"Toronto, Ontario, Canada",Canada,No, ,https://en.wikipedia.org/wiki/Score_Media_and_Gaming,,Success
thenewsleaders.net,"Princeton, Similkameen Valley, British Columbia",Canada,No, ,https://en.wikipedia.org/wiki/Similkameen_News_Leader,,Success
thepeterboroughexaminer.com,"60 Hunter Street EastPeterborough, OntarioK9J 3L4",Canada,No, ,https://en.wikipedia.org/wiki/The_Peterborough_Examiner,,Success
yourtownnews.ca,"33 Dundas Street East, Toronto, Ontario, Canada",Canada,No, ,https://en.wikipedia.org/wiki/CityNews,,Success
queensjournal.ca,"190 University Ave., Kingston, Ontario, Canada",Canada,No, ,https://en.wikipedia.org/wiki/The_Queen%27s_Journal,,Success
novascotia.ca, ,Canada,No, ,https://en.wikipedia.org/wiki/Nova_Scotia,,Success
discoverestevan.com, ,Canada,No, ,https://en.wikipedia.org/wiki/Estevan,,Success
ourwindsor.ca, ,Canada,No, ,https://en.wikipedia.org/wiki/Windsor_Roller_Derby,,Success
dronedj.com,"Shenzhen, Guangdong, China",China,No, ,https://en.wikipedia.org/wiki/DJI,,Success
szsb.sznews.com,Shenzhen,China,No, ,https://en.wikipedia.org/wiki/Shenzhen_Economic_Daily,,Success
tv.zol.com.cn,"Changsha, Hunan, China",China,No, ,https://en.wikipedia.org/wiki/Mango_TV,,Success
filfan.com,"Cairo, Egypt",Egypt,No, ,https://en.wikipedia.org/wiki/Vodafone_Egypt,,Success
brighouseecho.co.uk, ,England,No, ,https://en.wikipedia.org/wiki/Brighouse,,Success
blmforum.net, ,England,No, ,https://en.wikipedia.org/wiki/Stocksbridge,,Success
universfreebox.com,"Paris, France",France,No, ,https://en.wikipedia.org/wiki/Free_(ISP),,Success
my-angers.info, ,France,No, ,https://en.wikipedia.org/wiki/Angers,,Success
otomotif.tempo.co,Hamburg,Germany,No, ,https://en.wikipedia.org/wiki/Tempo_(company),,Success
gbcghana.com,"Accra, Ghana, Ghana",Ghana,No, ,https://en.wikipedia.org/wiki/Ghana_Broadcasting_Corporation,,Success
elections.peacefmonline.com,Accra,Ghana,No, ,https://en.wikipedia.org/wiki/New_Patriotic_Party,,Success
kaieteurnewsonline.com,"24 Saffon Street, Charlestown, Georgetown, Guyana",Guyana,No, ,https://en.wikipedia.org/wiki/Kaieteur_News,,Success
asgam.com,Hong Kong,Hong Kong,No, ,https://en.wikipedia.org/wiki/Galaxy_Entertainment_Group,,Success
entertainment.kompas.com,"South Palmerah road 22-26, Jakarta, Indonesia",Indonesia,No, ,https://en.wikipedia.org/wiki/Kompas_Gramedia_Group,,Success
